Linux 3.2.0-31-virtual (ip-10-124-138-93) 	06/17/2014 	_x86_64_	(2 CPU)

12:20:52 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
12:20:54 AM     all      4.52      0.00      3.02      0.75      2.51      0.00      0.00      0.00     89.20
12:20:56 AM     all      1.25      0.00      0.50      0.00      0.00      0.00      0.00      0.00     98.25
12:20:58 AM     all      0.49      0.00      1.96      0.00      2.94      0.00      0.00      0.00     94.61
12:21:00 AM     all      0.51      0.00      0.25      0.00      0.00      0.00      0.00      0.00     99.24
12:21:02 AM     all      1.00      0.00      0.25      0.00      0.25      0.00      0.00      0.00     98.50
12:21:04 AM     all      0.50      0.00      0.50      0.00      0.25      0.00      0.00      0.00     98.74
12:21:06 AM     all      0.50      0.00      0.25      0.00      0.00      0.00      0.00      0.00     99.24
12:21:08 AM     all      0.00      0.00      0.25      0.00      0.00      0.00      0.00      0.00     99.75
12:21:10 AM     all      0.25      0.00      0.50      0.00      0.00      0.00      0.00      0.00     99.24
12:21:12 AM     all      0.25      0.00      0.25      0.00      0.00      0.00      0.00      0.00     99.49
12:21:14 AM     all      0.00      0.00      0.25      0.00      0.00      0.00      0.00      0.00     99.75
12:21:16 AM     all      0.00      0.00      0.50      0.00      1.49      0.00      0.00      0.00     98.01
12:21:18 AM     all      0.00      0.00      0.51      0.00      0.00      0.00      0.00      0.00     99.49
12:21:20 AM     all      0.50      0.00      0.25      0.00      0.00      0.00      0.00      0.00     99.24
12:21:22 AM     all      0.00      0.00      0.25      0.00      0.00      0.00      0.00      0.00     99.75
12:21:24 AM     all      0.00      0.00      0.25      0.00      0.00      0.00      0.00      0.00     99.75
12:21:26 AM     all      0.25      0.00      0.25      0.00      1.25      0.00      0.00      0.00     98.25
12:21:28 AM     all      0.00      0.00      0.51      0.00      0.00      0.00      0.00      0.00     99.49
12:21:30 AM     all      0.00      0.00      0.50      0.00      1.51      0.00      0.00      0.00     97.98
12:21:32 AM     all      0.25      0.00      0.51      0.00      0.00      0.00      0.00      0.00     99.24
12:21:34 AM     all      0.25      0.00      0.25      0.25      0.00      0.00      0.00      0.00     99.24
12:21:36 AM     all      0.00      0.00      0.25      0.00      0.00      0.00      0.00      0.00     99.75
12:21:38 AM     all      0.00      0.00      0.50      0.00      1.00      0.00      0.00      0.00     98.50
12:21:40 AM     all      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
12:21:42 AM     all      0.00      0.00      0.51      0.00      0.00      0.00      0.00      0.00     99.49
12:21:44 AM     all      0.25      0.00      0.50      0.00      0.00      0.00      0.00      0.00     99.24
12:21:46 AM     all      0.00      0.00      0.50      0.25      0.00      0.00      0.00      0.00     99.24
12:21:48 AM     all      0.00      0.00      0.99      0.00      1.73      0.00      0.25      0.00     97.03
12:21:50 AM     all      0.25      0.00      0.50      0.00      0.00      0.00      0.00      0.00     99.24
12:21:52 AM     all      0.50      0.00      0.50      0.00      0.00      0.00      0.25      0.00     98.74
12:21:54 AM     all      0.00      0.00      0.74      0.00      1.48      0.00      0.49      0.00     97.28
12:21:56 AM     all      0.25      0.00      1.25      0.00      0.00      0.00      0.00      0.00     98.50
12:21:58 AM     all      0.00      0.00      0.49      0.00      2.22      0.00      0.00      0.00     97.28
12:22:00 AM     all      0.50      0.00      0.50      0.00      0.25      0.00      0.25      0.00     98.49
12:22:02 AM     all      0.00      0.00      1.01      1.01      0.00      0.00      0.00      0.00     97.98
12:22:04 AM     all      0.00      0.00      0.51      0.00      0.00      0.00      0.00      0.00     99.49
12:22:06 AM     all      0.25      0.00      0.75      0.00      1.00      0.00      0.00      0.00     98.00
12:22:08 AM     all      0.25      0.00      0.51      0.00      0.00      0.00      0.00      0.00     99.24
12:22:10 AM     all      0.25      0.00      0.74      0.00      1.49      0.00      0.00      0.00     97.52
12:22:12 AM     all      0.25      0.00      0.25      0.00      0.00      0.00      0.00      0.00     99.49
12:22:14 AM     all      0.25      0.00      0.75      0.00      1.00      0.00      0.00      0.00     98.00
12:22:16 AM     all      0.25      0.00      0.51      0.25      0.00      0.00      0.00      0.00     98.99
12:22:18 AM     all      0.25      0.00      1.01      0.00      0.00      0.00      0.00      0.00     98.74
12:22:20 AM     all      0.25      0.00      0.49      0.00      2.70      0.00      0.00      0.00     96.56
12:22:22 AM     all      0.25      0.00      0.51      0.00      0.00      0.00      0.00      0.00     99.24
12:22:24 AM     all      0.50      0.00      0.75      0.00      1.49      0.00      0.00      0.00     97.26
12:22:26 AM     all      0.51      0.00      0.76      0.00      0.00      0.00      0.00      0.00     98.74
12:22:28 AM     all      1.25      0.00      1.00      0.25      1.50      0.00      0.00      0.00     96.01
12:22:30 AM     all      0.00      0.00      0.76      0.00      0.00      0.00      0.00      0.00     99.24
12:22:32 AM     all      0.50      0.00      0.75      0.00      0.25      0.00      0.00      0.00     98.50
12:22:34 AM     all      1.50      0.00      0.50      0.00      0.00      0.00      0.00      0.00     98.00
12:22:36 AM     all      1.47      0.00      0.98      0.00      0.98      0.00      0.00      0.00     96.57
12:22:38 AM     all      1.49      0.00      0.99      0.00      0.00      0.00      0.00      0.00     97.52
12:22:40 AM     all      1.49      0.00      0.99      0.00      0.00      0.00      0.00      0.00     97.52
12:22:42 AM     all      1.94      0.00      1.46      0.00      0.97      0.00      0.00      0.00     95.63
12:22:44 AM     all      3.18      0.00      0.49      0.00      0.00      0.00      0.00      0.00     96.33
12:22:46 AM     all      2.18      0.00      1.46      0.24      0.73      0.00      0.00      0.00     95.39
12:22:48 AM     all      4.74      0.00      1.42      0.00      1.42      0.00      0.00      0.00     92.42
12:22:50 AM     all      5.48      0.00      1.43      0.00      0.00      0.00      0.00      0.00     93.10
12:22:52 AM     all      5.74      0.00      0.72      0.24      0.00      0.00      0.00      0.00     93.30
12:22:54 AM     all      4.80      0.00      1.44      0.00      0.00      0.00      0.00      0.00     93.76
12:22:56 AM     all      2.86      0.00      1.19      0.00      2.62      0.00      0.00      0.00     93.33
12:22:58 AM     all      3.17      0.00      1.46      0.00      0.00      0.00      0.00      0.00     95.37
12:23:00 AM     all      2.95      0.00      1.23      0.00      0.00      0.00      0.00      0.00     95.82
12:23:02 AM     all      5.08      0.00      0.73      0.00      0.48      0.00      0.00      0.00     93.70
12:23:04 AM     all      2.46      0.00      0.99      0.25      0.00      0.00      0.00      0.00     96.31
12:23:06 AM     all      2.68      0.00      0.73      0.00      1.46      0.00      0.00      0.00     95.13
12:23:08 AM     all      2.72      0.00      1.24      0.00      0.99      0.00      0.00      0.00     95.05
12:23:10 AM     all      1.00      0.00      1.00      0.00      0.50      0.00      0.00      0.00     97.51
12:23:12 AM     all      0.50      0.00      0.50      0.00      0.50      0.00      0.25      0.00     98.25
