Linux 3.2.0-31-virtual (ip-10-124-138-93) 	06/17/2014 	_x86_64_	(2 CPU)

12:20:52 AM    proc/s   cswch/s
12:20:54 AM      2.00   1373.50
12:20:56 AM      0.00    511.00
12:20:58 AM      0.00    465.00
12:21:00 AM      0.00    461.50
12:21:02 AM      0.00    457.00
12:21:04 AM      0.00    469.00
12:21:06 AM      0.00    468.00
12:21:08 AM      0.00    452.00
12:21:10 AM      0.00    492.00
12:21:12 AM      0.00    449.00
12:21:14 AM      0.00    476.50
12:21:16 AM      0.00    472.50
12:21:18 AM      0.00    481.00
12:21:20 AM      0.00    486.50
12:21:22 AM      0.00    492.50
12:21:24 AM      0.00    490.50
12:21:26 AM      0.00    494.00
12:21:28 AM      0.00    460.00
12:21:30 AM      0.00    484.50
12:21:32 AM      0.00    492.50
12:21:34 AM      0.00    506.00
12:21:36 AM      0.00    474.00
12:21:38 AM      0.00    473.00
12:21:40 AM      0.00    476.50
12:21:42 AM      0.00    463.50
12:21:44 AM      0.00    458.00
12:21:46 AM      0.00    465.00
12:21:48 AM      0.00    463.00
12:21:50 AM      0.00    462.00
12:21:52 AM      0.00    459.50
12:21:54 AM      0.00    447.00
12:21:56 AM      0.00    467.50
12:21:58 AM      0.00    455.00
12:22:00 AM      0.00    489.00
12:22:02 AM      0.00    480.50
12:22:04 AM      0.00    472.00
12:22:06 AM      0.00    462.00
12:22:08 AM      0.00    448.50
12:22:10 AM      0.00    475.00
12:22:12 AM      0.00    456.50
12:22:14 AM      0.00    453.00
12:22:16 AM      0.00    480.50
12:22:18 AM      0.00    479.50
12:22:20 AM      0.00    455.00
12:22:22 AM      0.00    475.00
12:22:24 AM      0.00    456.00
12:22:26 AM      0.00    481.00
12:22:28 AM      0.00    456.00
12:22:30 AM      0.00    479.50
12:22:32 AM      0.00    468.50
12:22:34 AM      0.00    471.50
12:22:36 AM      0.00    444.50
12:22:38 AM      0.00    459.50
12:22:40 AM      0.00    480.00
12:22:42 AM      0.00    451.50
12:22:44 AM      0.00    448.50
12:22:46 AM      0.00    459.00
12:22:48 AM      2.00    658.50
12:22:50 AM      0.00    680.00
12:22:52 AM      0.00    681.00
12:22:54 AM      0.00    679.00
12:22:56 AM      0.00    661.00
12:22:58 AM      0.00    684.50
12:23:00 AM      0.00    690.50
12:23:02 AM      0.00    652.00
12:23:04 AM      0.00    639.50
12:23:06 AM      0.00    622.50
12:23:08 AM      0.00    684.00
12:23:10 AM      0.00    699.00
12:23:12 AM      0.00    661.00
12:23:14 AM      0.00    714.00
12:23:16 AM      0.00    667.00
12:23:18 AM      0.00    660.50
12:23:20 AM      0.00    615.00
12:23:22 AM      0.00    635.50
12:23:24 AM      0.00    605.00
12:23:26 AM      0.00    640.00
12:23:28 AM      0.00    631.50
12:23:30 AM      0.00    606.00
12:23:32 AM      0.00    639.00
12:23:34 AM      0.00    682.00
12:23:36 AM      0.00    642.00
12:23:38 AM      0.00    658.00
12:23:40 AM      0.00    593.50
12:23:42 AM      0.00    620.50
12:23:44 AM      0.00    622.50
12:23:46 AM      0.00    662.00
12:23:48 AM      0.00    674.50
12:23:50 AM      0.00    639.00
12:23:52 AM      0.00    613.50
12:23:54 AM      0.00    589.50
12:23:56 AM      0.00    621.50
12:23:58 AM      0.00    585.00
12:24:00 AM      0.00    637.62
12:24:02 AM      0.00    635.50
12:24:04 AM      0.00    580.50
12:24:06 AM      0.00    609.50
12:24:08 AM      0.00    678.50
12:24:10 AM      0.00    434.00
12:24:12 AM      0.00    601.50
12:24:14 AM      0.00    681.00
12:24:16 AM      0.00    656.00
12:24:18 AM      0.00    616.00
12:24:20 AM      0.00    686.50
12:24:22 AM      0.00    646.00
12:24:24 AM      0.00    662.00
12:24:26 AM      0.00    622.50
12:24:28 AM      0.00    589.00
12:24:30 AM      0.00    613.00
12:24:32 AM      0.00    671.00
12:24:34 AM      0.00    623.79
12:24:36 AM      0.00    645.50
12:24:38 AM      0.00    621.50
12:24:40 AM      0.00    612.50
12:24:42 AM      0.00    619.00
12:24:44 AM      0.00    627.00
12:24:46 AM      0.00    639.00
12:24:48 AM      3.00   1008.00
12:24:50 AM      0.00   1078.50
12:24:52 AM      0.00   1089.50
12:24:54 AM      0.00   1091.50
12:24:56 AM      0.00    966.00
12:24:58 AM      0.00    989.00
12:25:00 AM      0.00    942.50
12:25:02 AM      1.50   1003.00
12:25:04 AM      0.00   1033.00
12:25:06 AM      0.00   1048.50
12:25:08 AM      0.00   1052.50
12:25:10 AM      0.00    973.00
12:25:12 AM      0.00   1066.00
12:25:14 AM      0.00    995.00
12:25:16 AM      0.00   1019.50
12:25:18 AM      0.00   1033.50
12:25:20 AM      0.00    963.50
12:25:22 AM      0.00   1034.00
12:25:24 AM      0.00    976.50
12:25:26 AM      0.00   1076.00
12:25:28 AM      0.00   1043.50
12:25:30 AM      0.00   1008.50
