Linux 3.2.0-31-virtual (ip-10-124-138-93) 	06/17/2014 	_x86_64_	(2 CPU)

12:20:52 AM    totsck    tcpsck    udpsck    rawsck   ip-frag    tcp-tw
12:20:54 AM        73        11         5         0         0     20866
12:20:56 AM        69        10         5         0         0     20866
12:20:58 AM        69        10         5         0         0     20866
12:21:00 AM        69        10         5         0         0     20866
12:21:02 AM        69        10         5         0         0     17423
12:21:04 AM        69        10         5         0         0     17423
12:21:06 AM        69        10         5         0         0     17423
12:21:08 AM        69        10         5         0         0     17423
12:21:10 AM        69        10         5         0         0     17423
12:21:12 AM        69        10         5         0         0     17423
12:21:14 AM        69        10         5         0         0     17423
12:21:16 AM        69        10         5         0         0     14008
12:21:18 AM        69        10         5         0         0     14008
12:21:20 AM        69        10         5         0         0     14008
12:21:22 AM        69        10         5         0         0     14008
12:21:24 AM        69        10         5         0         0     14008
12:21:26 AM        69        10         5         0         0     14008
12:21:28 AM        69        10         5         0         0     14008
12:21:30 AM        69        10         5         0         0     14008
12:21:32 AM        69        10         5         0         0     10939
12:21:34 AM        69        10         5         0         0     10939
12:21:36 AM        69        10         5         0         0     10939
12:21:38 AM        69        10         5         0         0     10939
12:21:40 AM        69        10         5         0         0     10939
12:21:42 AM        69        10         5         0         0     10939
12:21:44 AM        69        10         5         0         0     10939
12:21:46 AM        69        10         5         0         0      7651
12:21:48 AM        69        10         5         0         0      7651
12:21:50 AM        69        10         5         0         0      7651
12:21:52 AM        69        10         5         0         0      7651
12:21:54 AM        69        10         5         0         0      7651
12:21:56 AM        69        10         5         0         0      7651
12:21:58 AM        69        10         5         0         0      7651
12:22:00 AM        69        10         5         0         0      7651
12:22:02 AM        69        10         5         0         0      4296
12:22:04 AM        69        10         5         0         0      4296
12:22:06 AM        69        10         5         0         0      4296
12:22:08 AM        69        10         5         0         0      4296
12:22:10 AM        69        10         5         0         0      4296
12:22:12 AM        69        10         5         0         0      4296
12:22:14 AM        69        10         5         0         0      4296
12:22:16 AM        69        10         5         0         0       920
12:22:18 AM        69        10         5         0         0       920
12:22:20 AM        69        10         5         0         0       920
12:22:22 AM        69        10         5         0         0       920
12:22:24 AM        69        10         5         0         0       920
12:22:26 AM        69        10         5         0         0       920
12:22:28 AM        69        10         5         0         0       920
12:22:30 AM        69        10         5         0         0       920
12:22:32 AM        69        10         5         0         0         4
12:22:34 AM        69        10         5         0         0         4
12:22:36 AM        69        10         5         0         0         4
12:22:38 AM        69        10         5         0         0         4
12:22:40 AM        69        10         5         0         0         4
12:22:42 AM        69        10         5         0         0         4
12:22:44 AM        69        10         5         0         0         4
12:22:46 AM        69        10         5         0         0         3
12:22:48 AM        71        12         5         0         0         3
12:22:50 AM        71        12         5         0         0         3
12:22:52 AM        71        12         5         0         0         3
12:22:54 AM        70        11         5         0         0         3
12:22:56 AM        70        11         5         0         0         3
12:22:58 AM        70        11         5         0         0         3
12:23:00 AM        70        11         5         0         0         3
12:23:02 AM        70        11         5         0         0         3
12:23:04 AM        70        11         5         0         0         3
12:23:06 AM        70        11         5         0         0         3
12:23:08 AM        70        11         5         0         0         3
12:23:10 AM        70        11         5         0         0         3
12:23:12 AM        70        11         5         0         0         3
12:23:14 AM        70        11         5         0         0         3
12:23:16 AM        70        11         5         0         0         2
12:23:18 AM        70        11         5         0         0         2
12:23:20 AM        70        11         5         0         0         2
12:23:22 AM        70        11         5         0         0         2
12:23:24 AM        70        11         5         0         0         2
12:23:26 AM        70        11         5         0         0         2
12:23:28 AM        70        11         5         0         0         2
12:23:30 AM        70        11         5         0         0         2
12:23:32 AM        70        11         5         0         0         2
12:23:34 AM        70        11         5         0         0         2
12:23:36 AM        70        11         5         0         0         2
12:23:38 AM        70        11         5         0         0         2
12:23:40 AM        70        11         5         0         0         2
12:23:42 AM        70        11         5         0         0         2
12:23:44 AM        70        11         5         0         0         2
12:23:46 AM        70        11         5         0         0         2
12:23:48 AM        70        11         5         0         0         2
12:23:50 AM        70        11         5         0         0         2
12:23:52 AM        70        11         5         0         0         2
12:23:54 AM        70        11         5         0         0         2
12:23:56 AM        70        11         5         0         0         2
12:23:58 AM        70        11         5         0         0         2
12:24:00 AM        70        11         5         0         0         2
12:24:02 AM        70        11         5         0         0         2
12:24:04 AM        70        11         5         0         0         2
12:24:06 AM        70        11         5         0         0         2
12:24:08 AM        70        11         5         0         0         2
12:24:10 AM        70        11         5         0         0         2
12:24:12 AM        70        11         5         0         0         2
12:24:14 AM        70        11         5         0         0         2
12:24:16 AM        70        11         5         0         0         2
12:24:18 AM        70        11         5         0         0         2
12:24:20 AM        70        11         5         0         0         2
12:24:22 AM        70        11         5         0         0         2
12:24:24 AM        70        11         5         0         0         2
12:24:26 AM        70        11         5         0         0         2
12:24:28 AM        70        11         5         0         0         2
12:24:30 AM        70        11         5         0         0         2
12:24:32 AM        70        11         5         0         0         2
12:24:34 AM        70        11         5         0         0         2
12:24:36 AM        70        11         5         0         0         2
12:24:38 AM        70        11         5         0         0         2
12:24:40 AM        70        11         5         0         0         2
12:24:42 AM        70        11         5         0         0         2
12:24:44 AM        70        11         5         0         0         2
12:24:46 AM        70        11         5         0         0         2
12:24:48 AM        73        14         5         0         0         2
12:24:50 AM        73        14         5         0         0         2
12:24:52 AM        73        14         5         0         0         2
12:24:54 AM        73        14         5         0         0         2
12:24:56 AM        73        14         5         0         0         2
