Linux 3.2.0-31-virtual (ip-10-124-138-93) 	06/17/2014 	_x86_64_	(2 CPU)

12:20:52 AM  active/s passive/s    iseg/s    oseg/s
12:20:54 AM      0.00      0.00     76.00     55.00
12:20:56 AM      0.00      0.00     77.50     51.50
12:20:58 AM      0.00      0.00     74.00     50.00
12:21:00 AM      0.00      0.00     74.50     49.50
12:21:02 AM      0.50      0.50     81.00     56.50
12:21:04 AM      0.00      0.00     75.00     50.00
12:21:06 AM      0.00      0.00     76.50     51.50
12:21:08 AM      0.00      0.00     75.00     50.00
12:21:10 AM      0.00      0.00     76.50     51.50
12:21:12 AM      0.00      0.00     75.00     50.00
12:21:14 AM      0.00      0.00     76.50     51.50
12:21:16 AM      0.00      0.00     73.50     49.00
12:21:18 AM      0.00      0.00     75.00     50.00
12:21:20 AM      0.00      0.00     76.50     51.50
12:21:22 AM      0.00      0.00     73.50     49.00
12:21:24 AM      0.00      0.00     76.50     51.50
12:21:26 AM      0.00      0.00     75.00     50.00
12:21:28 AM      0.00      0.00     75.00     50.50
12:21:30 AM      0.00      0.00     73.50     49.00
12:21:32 AM      0.50      0.50     82.50     57.50
12:21:34 AM      0.00      0.00     80.00     54.50
12:21:36 AM      0.00      0.00     76.50     51.50
12:21:38 AM      0.00      0.00     73.50     49.00
12:21:40 AM      0.00      0.00     76.50     51.50
12:21:42 AM      0.00      0.00     75.00     50.00
12:21:44 AM      0.00      0.00     76.50     51.50
12:21:46 AM      0.00      0.00     75.00     50.00
12:21:48 AM      0.00      0.00     75.00     50.50
12:21:50 AM      0.00      0.00     75.00     50.00
12:21:52 AM      0.00      0.00     73.50     49.50
12:21:54 AM      0.00      0.00     72.00     49.00
12:21:56 AM      0.00      0.00     76.50     51.50
12:21:58 AM      0.00      0.00     70.50     47.00
12:22:00 AM      0.00      0.00     76.50     51.50
12:22:02 AM      0.50      0.50     81.00     56.00
12:22:04 AM      0.00      0.00     75.50     51.00
12:22:06 AM      0.00      0.00     73.00     48.50
12:22:08 AM      0.00      0.00     76.50     51.50
12:22:10 AM      0.00      0.00     72.50     48.50
12:22:12 AM      0.00      0.00     76.00     51.00
12:22:14 AM      0.00      0.00     73.50     49.00
12:22:16 AM      0.00      0.00     76.50     51.50
