Linux 3.2.0-31-virtual (ip-10-124-138-93) 	06/23/2014 	_x86_64_	(2 CPU)

07:56:32 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
07:56:34 PM     all     59.08      0.00      7.99      0.00     23.49      0.00      1.94      0.00      7.51
07:56:36 PM     all     64.89      0.00      5.33      0.00     26.39      0.00      0.97      0.00      2.42
07:56:38 PM     all     64.04      0.00      5.17      0.00     20.94      0.00      1.72      0.00      8.13
07:56:40 PM     all     59.10      0.00      4.96      0.00     27.42      0.00      1.65      0.00      6.86
07:56:42 PM     all     64.94      0.00      5.93      0.00     19.75      0.00      1.73      0.00      7.65
07:56:44 PM     all     59.61      0.00      7.06      0.00     25.55      0.00      1.46      0.00      6.33
07:56:46 PM     all     61.23      0.00      5.20      0.00     26.24      0.00      1.65      0.00      5.67
07:56:48 PM     all     62.38      0.00      5.83      0.00     26.46      0.00      1.46      0.00      3.88
07:56:50 PM     all     62.30      0.00      5.85      0.00     22.72      0.00      1.17      0.00      7.96
07:56:52 PM     all     65.43      0.00      4.69      0.00     25.19      0.00      1.98      0.00      2.72
07:56:54 PM     all     65.01      0.00      5.96      0.00     23.57      0.00      0.99      0.00      4.47
07:56:56 PM     all     58.28      0.00      4.66      0.00     26.81      0.00      1.40      0.00      8.86
07:56:58 PM     all     61.40      0.00      5.26      0.00     18.80      0.00      1.50      0.00     13.03
07:57:00 PM     all     63.03      0.00      4.74      0.00     25.12      0.00      1.42      0.00      5.69
07:57:02 PM     all     65.97      0.00      5.13      0.00     24.71      0.00      1.86      0.00      2.33
07:57:04 PM     all     59.57      0.00      5.67      0.00     23.88      0.00      0.71      0.00     10.17
07:57:06 PM     all     62.09      0.00      5.21      0.00     27.49      0.00      1.90      0.00      3.32
07:57:08 PM     all     62.41      0.00      4.42      0.00     19.90      0.00      1.47      0.00     11.79
07:57:10 PM     all     63.92      0.00      6.30      0.00     25.91      0.00      1.45      0.00      2.42
07:57:12 PM     all     63.04      0.00      4.35      0.00     28.99      0.00      2.17      0.00      1.45
07:57:14 PM     all     63.83      0.00      5.58      0.00     21.84      0.00      0.73      0.00      8.01
07:57:16 PM     all     61.32      0.00      4.95      0.00     23.35      0.00      1.18      0.00      9.20
07:57:18 PM     all     63.05      0.00      3.45      0.00     20.69      0.00      1.23      0.00     11.58
07:57:20 PM     all     61.16      0.00      4.42      0.00     26.28      0.00      1.63      0.00      6.51
07:57:22 PM     all     62.00      0.00      5.94      0.00     24.47      0.00      1.43      0.00      6.18
07:57:24 PM     all     65.93      0.00      5.88      0.00     23.04      0.00      1.72      0.00      3.43
07:57:26 PM     all     63.40      0.00      4.31      0.00     21.77      0.00      1.91      0.00      8.61
07:57:28 PM     all     61.28      0.00      5.46      0.00     27.32      0.00      1.43      0.00      4.51
07:57:30 PM     all     63.70      0.00      5.19      0.00     27.16      0.00      1.23      0.00      2.72
