Linux 3.2.0-31-virtual (ip-10-124-138-93) 	06/23/2014 	_x86_64_	(2 CPU)

07:56:32 PM    proc/s   cswch/s
07:56:34 PM    194.50   4602.00
07:56:36 PM    236.50   4930.00
07:56:38 PM    234.00   4469.50
07:56:40 PM    219.00   4160.00
07:56:42 PM    241.00   4447.00
07:56:44 PM    223.00   3993.50
07:56:46 PM    202.50   3862.50
07:56:48 PM    214.50   4097.50
07:56:50 PM    239.00   4454.00
07:56:52 PM    260.68   4747.09
07:56:54 PM    193.17   4113.17
07:56:56 PM    228.50   4431.00
07:56:58 PM    238.61   4851.49
07:57:00 PM    203.50   4259.50
07:57:02 PM    225.00   4877.00
07:57:04 PM    241.50   4754.50
07:57:06 PM    220.49   4440.49
07:57:08 PM    216.92   4240.30
07:57:10 PM    230.50   4496.00
07:57:12 PM    207.00   4497.00
07:57:14 PM    231.00   4842.00
07:57:16 PM    229.00   4508.00
07:57:18 PM    241.50   4935.00
07:57:20 PM    204.93   4288.18
07:57:22 PM    207.00   3952.00
07:57:24 PM    231.22   4559.02
07:57:26 PM    253.00   4893.00
07:57:28 PM    218.81   4493.56
07:57:30 PM    212.50   4502.50
07:57:32 PM    240.00   4630.50
07:57:34 PM    220.00   4348.50
07:57:36 PM    219.50   4120.50
07:57:38 PM    232.50   4575.50
07:57:40 PM    238.50   4482.50
07:57:42 PM    203.00   3960.50
07:57:44 PM    227.00   4594.00
07:57:46 PM    243.00   4611.50
07:57:48 PM    240.50   5060.00
07:57:50 PM    201.48   4513.79
07:57:52 PM    224.50   4301.50
07:57:54 PM    238.00   4799.50
07:57:56 PM    227.00   4336.50
07:57:58 PM    240.50   4571.00
07:58:00 PM    216.00   3993.00
07:58:02 PM    215.00   4246.50
07:58:04 PM    220.00   4382.50
07:58:06 PM    223.90   4219.51
07:58:08 PM    237.00   4517.50
07:58:10 PM    210.19   3968.45
07:58:12 PM    227.23   4238.12
07:58:14 PM    220.50   4510.50
07:58:16 PM    261.00   4826.00
07:58:18 PM    216.50   4331.50
07:58:20 PM    239.00   4486.00
07:58:22 PM    182.00   3834.50
07:58:24 PM    237.00   4600.00
07:58:26 PM    248.00   4680.50
07:58:28 PM    191.50   4142.50
07:58:30 PM    205.00   4408.00
07:58:32 PM    251.00   4861.00
07:58:34 PM    201.50   4082.50
07:58:36 PM    211.50   4405.00
07:58:38 PM    235.50   4551.50
07:58:40 PM    204.00   4039.00
07:58:42 PM    219.21   4092.12
07:58:44 PM    218.91   4377.61
07:58:46 PM    223.50   4342.50
07:58:48 PM    230.50   4591.50
07:58:50 PM    255.00   4813.00
07:58:52 PM    216.50   4430.00
07:58:54 PM    208.00   4212.00
07:58:56 PM    216.02   4289.32
07:58:58 PM    251.74   4760.20
07:59:00 PM    219.00   4209.50
07:59:02 PM    225.00   4390.00
07:59:04 PM    240.00   4636.00
07:59:06 PM    241.00   4697.50
07:59:08 PM    179.02   4143.41
07:59:10 PM    230.20   4960.89
07:59:12 PM    218.50   4420.50
07:59:14 PM    236.50   4586.00
07:59:16 PM    237.50   4366.00
07:59:18 PM    105.50   2086.00
07:59:20 PM     59.50   6446.00
07:59:23 PM     58.13   1496.06
07:59:25 PM    216.00   4144.00
07:59:27 PM    225.25   4491.58
07:59:28 PM    241.50   4567.00
07:59:31 PM    238.50   4822.50
07:59:33 PM    203.50   4011.00
07:59:35 PM    220.00   4451.00
07:59:37 PM    233.50   4189.50
07:59:39 PM    227.00   4330.50
07:59:41 PM    234.15   4539.51
07:59:43 PM    244.28   4568.66
07:59:45 PM    204.00   3868.00
07:59:47 PM    231.22   4380.98
07:59:49 PM    236.50   4422.00
07:59:51 PM    241.00   4822.00
07:59:53 PM    234.50   4316.00
07:59:55 PM    203.50   4198.50
07:59:57 PM    240.50   4605.00
07:59:59 PM    229.00   4812.50
08:00:01 PM    232.50   4409.00
08:00:03 PM    225.00   4366.00
08:00:05 PM    266.50   5261.00
08:00:07 PM    172.28   3624.75
08:00:09 PM    229.00   4860.00
08:00:11 PM    226.00   4565.00
08:00:13 PM    220.00   4508.00
08:00:15 PM    240.20   4690.69
08:00:17 PM    226.50   4586.50
08:00:19 PM    196.50   3741.00
08:00:21 PM    228.00   4823.50
08:00:23 PM    229.00   4489.00
08:00:25 PM    231.00   4487.50
