Linux 3.2.0-31-virtual (ip-10-124-138-93) 	06/23/2014 	_x86_64_	(2 CPU)

07:56:32 PM   frmpg/s   bufpg/s   campg/s
07:56:34 PM   -500.00      0.00      6.47
07:56:36 PM    290.50      0.00      0.00
07:56:38 PM   -122.50      0.50      0.00
07:56:40 PM    125.50      0.00      0.50
07:56:42 PM   -109.50      0.00      0.00
07:56:44 PM    100.50      0.00      0.50
07:56:46 PM    -94.23      0.00      0.48
07:56:48 PM     -3.50      0.00      0.00
07:56:50 PM     -8.50      0.00      0.50
07:56:52 PM   -169.00      0.00      0.00
07:56:54 PM    170.50      0.00      0.50
07:56:56 PM    151.50      0.00      0.50
07:56:58 PM     14.50      0.00      0.50
07:57:00 PM   -264.39      0.00      0.49
07:57:02 PM     73.00      0.00      0.00
07:57:04 PM    154.50      0.00      1.00
07:57:06 PM   -123.00      0.00      0.00
07:57:08 PM    268.00      0.00      0.50
07:57:10 PM   -191.00      0.00      0.50
07:57:12 PM    -13.50      0.00      0.00
07:57:14 PM    -71.50      0.00      1.00
07:57:16 PM   -102.46      0.00      0.00
07:57:18 PM    300.00      0.00      0.50
07:57:20 PM    -89.00      0.00      0.50
07:57:22 PM   -210.00      0.00      0.00
07:57:24 PM      4.50      0.00      1.00
07:57:26 PM    157.00      0.00      0.00
07:57:28 PM   -157.50      0.00      0.50
07:57:30 PM    141.50      0.00      0.00
07:57:32 PM   -169.50      0.00      0.50
07:57:34 PM    -19.50      0.00      1.00
07:57:36 PM    -31.00      0.00      0.00
07:57:38 PM    165.37      0.00      0.49
07:57:40 PM   -104.50      0.00      0.00
07:57:42 PM    -95.00      0.00      0.50
07:57:44 PM    -11.00      0.00      0.50
07:57:46 PM    -29.50      0.00      0.50
07:57:48 PM     59.11      0.00      0.99
07:57:50 PM     81.50      0.00      0.00
07:57:52 PM   -116.50      0.00      1.50
07:57:54 PM    -39.50      0.00      0.50
07:57:56 PM    -47.00      0.00      0.50
07:57:58 PM    195.05      0.00      0.50
07:58:00 PM   -172.64      0.00      0.50
07:58:02 PM     77.00      0.00      0.50
07:58:04 PM    126.50      0.00      0.50
07:58:06 PM   -118.50      0.00      0.50
07:58:08 PM    -67.00      0.00      0.50
07:58:10 PM    -58.00      0.00      0.00
07:58:12 PM    310.45      0.00      1.00
07:58:14 PM    -98.00      0.00      0.00
07:58:16 PM    -83.00      0.00      0.50
07:58:18 PM   -151.00      0.00      0.50
07:58:20 PM     90.00      0.00      0.00
07:58:22 PM    -67.33      0.00      0.50
07:58:24 PM    -55.50      0.00      0.50
07:58:26 PM    160.00      0.00      0.50
07:58:28 PM    -85.50      0.00      0.00
07:58:30 PM   -348.50      0.00      0.50
07:58:32 PM   -230.00      0.00      0.50
07:58:34 PM    295.50      0.00      1.00
07:58:36 PM   -295.50      0.00      0.50
07:58:38 PM    146.00      0.00      0.50
07:58:40 PM   -297.00      0.00      0.00
07:58:42 PM    379.50      0.00      1.50
07:58:44 PM  -1516.26      0.00      0.00
07:58:46 PM   -432.00      0.00      0.00
07:58:48 PM    126.34      0.00      0.49
07:58:50 PM   -365.50      0.00      0.00
07:58:52 PM    230.00      0.00      0.50
07:58:54 PM  -1717.50      0.00      0.00
07:58:56 PM     -3.48      0.00      0.50
07:58:58 PM    -16.50      0.00      0.50
07:59:00 PM     82.00      0.00      1.00
07:59:02 PM   -150.50      0.00      1.00
07:59:04 PM    -37.00      0.50     -0.50
07:59:06 PM  -1649.00      0.00      1.00
07:59:08 PM    -91.67      0.00      0.98
07:59:10 PM    221.00      0.00      0.00
07:59:12 PM   -486.50      0.00      1.50
07:59:14 PM     34.00      0.00      0.50
07:59:16 PM   -151.50      0.00      0.50
07:59:18 PM  -2040.00      0.00      0.00
07:59:20 PM    336.95      0.00      0.49
07:59:22 PM    119.50      0.00      1.00
07:59:24 PM   -550.00      0.00      0.50
07:59:26 PM      4.50      0.00      0.50
07:59:28 PM      5.50      0.00      0.00
07:59:30 PM    -78.33      0.00      0.99
07:59:32 PM    -48.26      0.00      1.00
07:59:34 PM    235.29      0.00      0.49
07:59:36 PM    -85.00      0.00      0.00
07:59:38 PM   -127.00      0.00      0.50
07:59:40 PM    150.00      0.00      0.50
07:59:42 PM    -69.65      0.00      0.00
07:59:44 PM    106.50      0.00      1.00
07:59:46 PM   -155.50      0.00      0.00
07:59:48 PM    -15.00      0.00      0.50
07:59:50 PM     51.00      0.00      0.50
07:59:52 PM    -21.29      0.00      0.50
07:59:54 PM    -84.58      0.00      1.00
07:59:56 PM     77.00      0.00      0.00
07:59:58 PM   -114.50      0.00      0.50
08:00:00 PM    110.50      0.00      0.50
08:00:02 PM    -17.65      0.00      0.49
08:00:04 PM    226.37      0.50      0.50
08:00:06 PM    -29.70      0.00      0.00
08:00:08 PM    -10.50      0.00      0.50
08:00:10 PM     15.35      0.00      0.00
08:00:12 PM    155.50      0.00      0.50
08:00:15 PM   -213.37      0.00      0.50
08:00:16 PM    -64.00      0.00      1.00
08:00:19 PM    135.50      0.00      1.00
08:00:21 PM   -118.00      0.00      0.00
08:00:23 PM   -330.00      0.00      0.50
08:00:25 PM    232.50      0.00      0.00
