Linux 3.2.0-31-virtual (ip-10-124-138-93) 	06/23/2014 	_x86_64_	(2 CPU)

07:56:32 PM    totsck    tcpsck    udpsck    rawsck   ip-frag    tcp-tw
07:56:34 PM       173       110         5         0         0      1560
07:56:36 PM       169       109         5         0         0      2042
07:56:38 PM       169       109         5         0         0      2493
07:56:40 PM       168       108         5         0         0      2932
07:56:42 PM       169       109         5         0         0      3398
07:56:44 PM       162       109         5         0         0      3808
07:56:46 PM       167       110         5         0         0      4266
07:56:48 PM       162       104         5         0         0      4698
07:56:50 PM       170       110         5         0         0      5167
07:56:52 PM       136        97         5         0         0      5693
07:56:54 PM       168       108         5         0         0      6096
07:56:56 PM       151       109         5         0         0      6552
07:56:58 PM       121        72         5         0         0      7024
07:57:00 PM       157       109         5         0         0      7431
07:57:02 PM       149        89         5         0         0      7887
07:57:04 PM       147        88         5         0         0      8368
07:57:06 PM       158        98         5         0         0      8818
07:57:08 PM       104        96         5         0         0      9266
07:57:10 PM       127       110         5         0         0      9712
07:57:12 PM       163       104         5         0         0     10130
07:57:14 PM       164       109         5         0         0     10592
07:57:16 PM       166       107         5         0         0     11045
07:57:18 PM        81        69         5         0         0     11526
07:57:20 PM       138       108         5         0         0     11938
07:57:22 PM       169       109         5         0         0     12341
07:57:24 PM       167       109         5         0         0     12812
07:57:26 PM       121       108         5         0         0     11875
07:57:28 PM       135        99         5         0         0     12297
07:57:30 PM       146       103         5         0         0     12728
07:57:32 PM       162       103         5         0         0     13184
07:57:34 PM       166       107         5         0         0     13644
07:57:36 PM       166       108         5         0         0     14088
07:57:38 PM       165       107         5         0         0     14552
07:57:40 PM       129        92         5         0         0     15028
07:57:42 PM       162       108         5         0         0     13704
07:57:44 PM       161       106         5         0         0     14165
07:57:46 PM       137       108         5         0         0     14652
07:57:48 PM       137       108         5         0         0     15121
07:57:50 PM       168       108         5         0         0     15545
07:57:52 PM       168       108         5         0         0     15989
07:57:54 PM       168       108         5         0         0     16459
07:57:56 PM       169       109         5         0         0     15224
07:57:58 PM       169       109         5         0         0     15703
07:58:00 PM       169       109         5         0         0     16131
07:58:02 PM       140       105         5         0         0     16584
07:58:04 PM       162       103         5         0         0     16995
07:58:06 PM       169       109         5         0         0     17445
07:58:08 PM       169       109         5         0         0     17901
07:58:10 PM       169       109         5         0         0     18333
07:58:12 PM       157       100         5         0         0     17108
07:58:14 PM       162       102         5         0         0     17547
07:58:16 PM       112       109         5         0         0     17996
07:58:18 PM       169       109         5         0         0     18469
07:58:20 PM       165       109         5         0         0     18964
07:58:22 PM       169       109         5         0         0     19340
07:58:24 PM       169       109         5         0         0     19793
07:58:26 PM       143        89         5         0         0     18580
07:58:28 PM       201       144         5         0         0     18957
07:58:30 PM       259       200         5         0         0     19368
07:58:32 PM       166       119         5         0         0     19853
07:58:34 PM       269       209         5         0         0     20231
07:58:36 PM       269       209         5         0         0     20681
07:58:38 PM       229       199         5         0         0     21157
07:58:40 PM       269       209         5         0         0     21572
07:58:42 PM       269       209         5         0         0     20358
07:58:44 PM       254       209         5         0         0     20794
07:58:46 PM       269       209         5         0         0     21238
07:58:48 PM       269       209         5         0         0     21691
07:58:50 PM       259       200         5         0         0     22204
07:58:52 PM       269       209         5         0         0     22635
07:58:54 PM       248       197         5         0         0     23051
07:58:56 PM       269       209         5         0         0     21799
07:58:58 PM       269       209         5         0         0     22273
07:59:00 PM       268       209         5         0         0     22717
07:59:02 PM       268       209         5         0         0     23149
07:59:04 PM       268       209         5         0         0     23613
07:59:06 PM       129        69         5         0         0     24129
07:59:08 PM       239       182         5         0         0     24489
07:59:10 PM       239       180         5         0         0     24957
07:59:12 PM       269       209         5         0         0     22010
07:59:14 PM       269       209         5         0         0     22472
07:59:16 PM       223       174         5         0         0     22983
07:59:18 PM       269       209         5         0         0     23164
07:59:20 PM       269       209         5         0         0     23317
07:59:22 PM       240       180         5         0         0     23433
07:59:24 PM       263       208         5         0         0     23856
07:59:26 PM       269       209         5         0         0     20911
07:59:28 PM       266       208         5         0         0     21354
07:59:30 PM       212       179         5         0         0     21849
07:59:32 PM       269       209         5         0         0     22247
07:59:34 PM       249       189         5         0         0     22692
07:59:36 PM       269       209         5         0         0     23133
07:59:38 PM       268       208         5         0         0     23620
07:59:40 PM       269       209         5         0         0     24098
07:59:42 PM       240       183         5         0         0     21148
07:59:44 PM       263       203         5         0         0     21588
07:59:46 PM       270       210         5         0         0     22045
07:59:48 PM       265       206         5         0         0     22521
07:59:50 PM       269       209         5         0         0     22994
07:59:52 PM       269       209         5         0         0     23457
07:59:54 PM       267       209         5         0         0     23875
07:59:56 PM       259       209         5         0         0     20991
07:59:58 PM       269       209         5         0         0     21443
08:00:00 PM       269       209         5         0         0     21910
08:00:03 PM       243       183         5         0         0     22387
08:00:05 PM       154       149         5         0         0     22817
08:00:07 PM       259       200         5         0         0     23224
08:00:09 PM       266       206         5         0         0     23680
08:00:11 PM       266       206         5         0         0     24107
08:00:13 PM       249       207         5         0         0     21381
08:00:15 PM       249       209         5         0         0     21833
08:00:17 PM       251       191         5         0         0     22336
08:00:19 PM       248       208         5         0         0     22726
08:00:21 PM       245       204         5         0         0     23180
08:00:23 PM       269       209         5         0         0     23634
08:00:25 PM       237       177         5         0         0     24098
