Linux 3.2.0-31-virtual (ip-10-124-138-93) 	06/23/2014 	_x86_64_	(2 CPU)

07:56:32 PM  active/s passive/s    iseg/s    oseg/s
07:56:34 PM      0.00    189.00   2050.50   1860.00
07:56:36 PM      0.00    241.00   2369.50   2206.00
07:56:38 PM      0.00    226.00   2298.50   2056.50
07:56:40 PM      0.00    222.00   2231.50   2057.00
07:56:42 PM      0.00    234.00   2336.00   2098.00
07:56:44 PM      0.50    207.50   2040.00   1872.50
07:56:46 PM      0.00    227.59   2268.47   2048.77
07:56:48 PM      0.00    215.00   2241.50   2058.00
07:56:50 PM      0.00    239.00   2337.00   2114.00
07:56:52 PM      0.00    224.00   2311.50   2148.50
07:56:54 PM      0.00    233.50   2336.00   2163.50
07:56:56 PM      0.00    228.00   2195.00   2003.50
07:56:58 PM      0.00    215.92   2233.83   2067.66
07:57:00 PM      0.00    220.00   2263.00   2047.00
07:57:02 PM      0.00    211.39   2160.89   2010.40
07:57:04 PM      0.00    258.00   2482.00   2256.00
07:57:06 PM      0.00    225.50   2261.00   2079.50
07:57:08 PM      0.00    195.50   2050.50   1865.00
07:57:10 PM      0.00    221.50   2263.00   2092.00
07:57:12 PM      0.00    233.50   2331.00   2161.50
07:57:14 PM      0.50    238.50   2311.00   2081.00
07:57:16 PM      0.00    220.50   2304.50   2085.50
07:57:18 PM      0.00    207.32   2079.51   1900.00
07:57:20 PM      0.00    230.00   2314.50   2104.00
07:57:22 PM      0.00    213.50   2181.00   1976.00
07:57:24 PM      0.00    241.50   2330.50   2096.00
07:57:26 PM      0.00    243.50   2425.50   2213.50
07:57:28 PM      0.00    201.00   2146.50   1986.50
07:57:30 PM      0.00    220.40   2192.54   2064.18
07:57:32 PM      0.00    233.00   2329.50   2073.00
07:57:34 PM      0.00    234.50   2358.00   2118.50
07:57:36 PM      0.00    223.00   2197.00   1980.00
07:57:38 PM      0.00    233.50   2394.00   2186.00
07:57:40 PM      0.00    209.00   2124.00   1918.50
07:57:42 PM      0.00    237.50   2265.50   2127.00
07:57:44 PM      0.50    220.00   2321.00   2105.00
07:57:46 PM      0.00    240.50   2352.50   2111.00
07:57:48 PM      0.00    225.50   2337.00   2170.00
07:57:50 PM      0.00    217.82   2160.40   2027.23
07:57:52 PM      0.00    227.50   2309.00   2047.50
07:57:54 PM      0.00    233.50   2327.00   2097.00
07:57:56 PM      0.00    256.50   2450.50   2187.00
07:57:58 PM      0.00    213.50   2251.50   2073.00
07:58:00 PM      0.00    214.50   2148.00   1926.50
07:58:02 PM      0.00    219.50   2214.50   2043.50
07:58:04 PM      0.00    217.00   2210.00   2063.00
07:58:06 PM      0.00    227.00   2268.50   2091.50
07:58:08 PM      0.00    232.00   2317.50   2062.50
07:58:10 PM      0.00    229.00   2296.50   2047.00
07:58:12 PM      0.00    207.50   2109.00   1932.00
07:58:14 PM      0.50    229.50   2311.50   2094.00
07:58:16 PM      0.00    232.00   2301.50   2067.50
07:58:18 PM      0.00    226.00   2300.00   2108.00
07:58:20 PM      0.00    234.00   2330.00   2128.00
07:58:22 PM      0.00    201.00   2029.50   1878.00
07:58:24 PM      0.00    229.00   2290.50   2037.00
07:58:26 PM      0.00    241.50   2484.50   2210.00
07:58:28 PM      0.00    224.50   2325.50   2121.00
07:58:30 PM      0.00    250.50   2341.00   2095.00
07:58:32 PM      0.00    199.03   2121.36   1971.36
07:58:34 PM      0.00    220.10   2225.00   2051.96
07:58:36 PM      0.00    228.50   2292.00   2122.50
07:58:38 PM      0.00    220.00   2221.50   2083.00
07:58:40 PM      0.00    222.50   2254.50   2083.50
07:58:42 PM      0.00    231.84   2277.11   2026.37
07:58:44 PM      0.49    196.10   2093.66   1891.71
07:58:46 PM      0.00    234.00   2326.50   2124.00
07:58:48 PM      0.00    235.00   2352.00   2183.00
07:58:50 PM      0.00    228.50   2317.50   2183.50
07:58:52 PM      0.00    238.00   2423.00   2214.50
07:58:54 PM      0.00    207.00   2070.00   1955.50
