Linux 3.2.0-31-virtual (ip-10-124-138-93) 	06/23/2014 	_x86_64_	(2 CPU)

07:56:32 PM  pswpin/s pswpout/s
07:56:34 PM      0.00      0.00
07:56:36 PM      0.00      0.00
07:56:38 PM      0.00      0.00
07:56:40 PM      0.00      0.00
07:56:42 PM      0.00      0.00
07:56:44 PM      0.00      0.00
07:56:46 PM      0.00      0.00
07:56:48 PM      0.00      0.00
07:56:50 PM      0.00      0.00
07:56:52 PM      0.00      0.00
07:56:54 PM      0.00      0.00
07:56:56 PM      0.00      0.00
07:56:58 PM      0.00      0.00
07:57:00 PM      0.00      0.00
07:57:02 PM      0.00      0.00
07:57:04 PM      0.00      0.00
07:57:06 PM      0.00      0.00
07:57:08 PM      0.00      0.00
07:57:10 PM      0.00      0.00
07:57:12 PM      0.00      0.00
07:57:14 PM      0.00      0.00
07:57:16 PM      0.00      0.00
07:57:18 PM      0.00      0.00
07:57:20 PM      0.00      0.00
07:57:22 PM      0.00      0.00
07:57:24 PM      0.00      0.00
07:57:26 PM      0.00      0.00
07:57:28 PM      0.00      0.00
07:57:30 PM      0.00      0.00
07:57:32 PM      0.00      0.00
07:57:34 PM      0.00      0.00
07:57:36 PM      0.00      0.00
07:57:38 PM      0.00      0.00
07:57:40 PM      0.00      0.00
07:57:42 PM      0.00      0.00
07:57:44 PM      0.00      0.00
07:57:46 PM      0.00      0.00
07:57:48 PM      0.00      0.00
07:57:50 PM      0.00      0.00
07:57:52 PM      0.00      0.00
07:57:54 PM      0.00      0.00
07:57:56 PM      0.00      0.00
07:57:58 PM      0.00      0.00
07:58:00 PM      0.00      0.00
07:58:02 PM      0.00      0.00
07:58:04 PM      0.00      0.00
07:58:06 PM      0.00      0.00
07:58:08 PM      0.00      0.00
07:58:10 PM      0.00      0.00
07:58:12 PM      0.00      0.00
07:58:14 PM      0.00      0.00
07:58:16 PM      0.00      0.00
07:58:18 PM      0.00      0.00
07:58:20 PM      0.00      0.00
07:58:22 PM      0.00      0.00
07:58:24 PM      0.00      0.00
07:58:26 PM      0.00      0.00
07:58:28 PM      0.00      0.00
07:58:30 PM      0.00      0.00
07:58:32 PM      0.00      0.00
07:58:34 PM      0.00      0.00
07:58:36 PM      0.00      0.00
07:58:38 PM      0.00      0.00
07:58:40 PM      0.00      0.00
07:58:42 PM      0.00      0.00
07:58:44 PM      0.00      0.00
07:58:47 PM      0.00      0.00
07:58:49 PM      0.00      0.00
07:58:51 PM      0.00      0.00
07:58:53 PM      0.00      0.00
07:58:55 PM      0.00      0.00
07:58:57 PM      0.00      0.00
07:58:59 PM      0.00      0.00
07:59:01 PM      0.00      0.00
07:59:03 PM      0.00      0.00
07:59:05 PM      0.00      0.00
07:59:07 PM      0.00      0.00
07:59:09 PM      0.00      0.00
07:59:11 PM      0.00      0.00
07:59:13 PM      0.00      0.00
07:59:15 PM      0.00      0.00
07:59:17 PM      0.00      0.00
07:59:19 PM      0.00      0.00
07:59:21 PM      0.00      0.00
07:59:23 PM      0.00      0.00
07:59:25 PM      0.00      0.00
07:59:27 PM      0.00      0.00
07:59:29 PM      0.00      0.00
07:59:31 PM      0.00      0.00
07:59:33 PM      0.00      0.00
07:59:35 PM      0.00      0.00
07:59:37 PM      0.00      0.00
07:59:39 PM      0.00      0.00
07:59:41 PM      0.00      0.00
07:59:43 PM      0.00      0.00
07:59:45 PM      0.00      0.00
07:59:47 PM      0.00      0.00
07:59:49 PM      0.00      0.00
07:59:51 PM      0.00      0.00
07:59:53 PM      0.00      0.00
07:59:55 PM      0.00      0.00
07:59:57 PM      0.00      0.00
07:59:59 PM      0.00      0.00
08:00:01 PM      0.00      0.00
08:00:03 PM      0.00      0.00
08:00:05 PM      0.00      0.00
08:00:07 PM      0.00      0.00
08:00:09 PM      0.00      0.00
08:00:11 PM      0.00      0.00
08:00:13 PM      0.00      0.00
08:00:15 PM      0.00      0.00
08:00:17 PM      0.00      0.00
08:00:19 PM      0.00      0.00
08:00:21 PM      0.00      0.00
08:00:23 PM      0.00      0.00
08:00:25 PM      0.00      0.00
