connected to: 127.0.0.1
insert  query update delete getmore command flushes mapped  vsize    res faults  locked db idx miss %     qr|qw   ar|aw  netIn netOut  conn       time 
    *0     *0     *0     *0       0     1|0       0   544m  1.37g   175m      0  test:0.0%          0       0|0     0|0    62b     3k     1   00:55:54 
    *0      5     *0     *0       0     1|0       1   544m  1.37g   175m      0 mule-poc-data:0.0%          0       0|0     0|0    62b     3k     1   00:55:55 
    *0     *0     *0     *0       0     1|0       0   544m  1.37g   175m      0          test:0.0%          0       0|0     0|0    62b     3k     1   00:55:56 
    *0     *0     *0     *0       0     1|0       0   544m  1.37g   175m      0          test:0.0%          0       0|0     0|0    62b     3k     1   00:55:57 
    *0     *0     *0     *0       0     1|0       0   544m  1.37g   175m      0          test:0.0%          0       0|0     0|0    62b     3k     1   00:55:58 
    *0     *0     *0     *0       0     1|0       0   544m  1.37g   175m      0          test:0.0%          0       0|0     0|0    62b     3k     1   00:55:59 
    *0     *0     *0     *0       0     1|0       0   544m  1.37g   175m      0          test:0.0%          0       0|0     0|0    62b     3k     1   00:56:00 
    *0     *0     *0     *0       0     1|0       0   544m  1.37g   175m      0          test:0.0%          0       0|0     0|0    62b     3k     1   00:56:01 
    *0     *0     *0     *0       0     1|0       0   544m  1.37g   175m      0          test:0.0%          0       0|0     0|0    62b     3k     1   00:56:02 
    *0     *0     *0     *0       0     1|0       0   544m  1.37g   175m      0          test:0.0%          0       0|0     0|0    62b     3k     1   00:56:03 
insert  query update delete getmore command flushes mapped  vsize    res faults          locked db idx miss %     qr|qw   ar|aw  netIn netOut  conn       time 
    *0     *0     *0     *0       0     1|0       0   544m  1.37g   175m      0          test:0.0%          0       0|0     0|0    62b     3k     1   00:56:04 
    *0     *0     *0     *0       0     1|0       0   544m  1.37g   175m      0          test:0.0%          0       0|0     0|0    62b     3k     1   00:56:05 
    *0     *0     *0     *0       0     6|0       0   544m  1.37g   175m      0          test:0.0%          0       0|0     0|0   352b     3k     7   00:56:06 
    24     *0     *0     *0       0    80|0       0   544m  1.37g   175m      0 mule-poc-data:0.3%          0       0|0     0|0    41k    10k    13   00:56:07 
    11     *0     *0     *0       0    24|0       0   544m  1.37g   175m      0 mule-poc-data:0.3%          0       0|0     0|0    17k     5k    19   00:56:08 
     4     *0     *0     *0       0     5|0       0   544m  1.37g   175m      0             .:0.0%          0       0|0     0|0     5k     3k    19   00:56:09 
