Linux 3.4.68-59.97.amzn1.x86_64 (ip-192-168-100-86) 	02/09/2014 	_x86_64_	(8 CPU)

12:55:59 AM     CPU       MHz
12:56:01 AM     all   1799.99
12:56:03 AM     all   1799.99
12:56:05 AM     all   1799.99
12:56:07 AM     all   1799.99
12:56:09 AM     all   1799.99
12:56:11 AM     all   1799.99
12:56:13 AM     all   1799.99
12:56:15 AM     all   1799.99
12:56:17 AM     all   1799.99
12:56:19 AM     all   1799.99
12:56:21 AM     all   1799.99
12:56:23 AM     all   1799.99
12:56:25 AM     all   1799.99
12:56:27 AM     all   1799.99
12:56:29 AM     all   1799.99
12:56:31 AM     all   1799.99
12:56:33 AM     all   1799.99
12:56:35 AM     all   1799.99
12:56:37 AM     all   1799.99
12:56:39 AM     all   1799.99
12:56:41 AM     all   1799.99
12:56:43 AM     all   1799.99
12:56:45 AM     all   1799.99
12:56:47 AM     all   1799.99
12:56:49 AM     all   1799.99
12:56:51 AM     all   1799.99
12:56:53 AM     all   1799.99
12:56:55 AM     all   1799.99
12:56:57 AM     all   1799.99
12:56:59 AM     all   1799.99
12:57:01 AM     all   1799.99
12:57:03 AM     all   1799.99
12:57:05 AM     all   1799.99
12:57:07 AM     all   1799.99
12:57:09 AM     all   1799.99
12:57:11 AM     all   1799.99
