Linux 3.4.68-59.97.amzn1.x86_64 (ip-192-168-100-86) 	02/09/2014 	_x86_64_	(8 CPU)

12:55:59 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
12:56:01 AM     all     73.31      0.00     16.21      0.00      0.19      0.00      2.02      0.00      8.26
12:56:03 AM     all     73.97      0.00     13.83      0.00      0.31      0.00      1.81      0.00     10.08
12:56:05 AM     all     79.17      0.00     13.55      0.00      0.06      0.00      0.31      0.00      6.90
12:56:07 AM     all     80.09      0.00     15.26      0.00      0.00      0.00      0.38      0.00      4.27
12:56:09 AM     all     75.75      0.00     20.23      0.00      0.00      0.00      0.25      0.00      3.77
12:56:11 AM     all     75.59      0.00     18.31      0.00      0.25      0.00      0.76      0.00      5.09
12:56:13 AM     all     77.83      0.00     15.09      0.00      0.31      0.00      0.56      0.00      6.20
12:56:15 AM     all     78.89      0.00     15.99      0.00      0.12      0.00      0.81      0.00      4.18
12:56:17 AM     all     76.29      0.00     16.16      0.00      0.31      0.00      0.82      0.00      6.42
12:56:19 AM     all     68.86      0.00     18.83      0.00      0.19      0.00      2.20      0.00      9.92
12:56:21 AM     all     67.92      0.00     20.46      0.00      0.32      0.00      2.22      0.00      9.09
12:56:23 AM     all     66.71      0.00     20.89      0.00      0.19      0.00      2.14      0.00     10.07
12:56:25 AM     all     63.13      0.00     19.90      0.00      0.31      0.00      2.12      0.00     14.54
12:56:27 AM     all     58.47      0.00      9.03      0.00      0.06      0.00      0.88      0.00     31.56
12:56:29 AM     all     64.58      0.00     17.99      0.00      0.32      0.00      2.21      0.00     14.90
12:56:31 AM     all     66.12      0.00     13.01      0.00      0.25      0.00      1.38      0.00     19.23
12:56:33 AM     all     59.49      0.00     19.11      0.00      0.25      0.00      2.22      0.00     18.92
12:56:35 AM     all     61.69      0.00     19.28      0.00      0.32      0.00      2.08      0.00     16.64
12:56:37 AM     all     66.02      0.00     12.40      0.13      0.19      0.00      1.32      0.00     19.95
12:56:39 AM     all     59.68      0.00     19.24      0.00      0.32      0.00      2.59      0.00     18.17
12:56:41 AM     all     63.37      0.00     17.74      0.00      0.32      0.00      1.58      0.00     16.98
12:56:43 AM     all     68.18      0.00     10.75      0.00      0.19      0.00      1.33      0.00     19.54
12:56:45 AM     all     59.69      0.00     19.81      0.00      0.31      0.00      2.12      0.00     18.07
12:56:47 AM     all     65.56      0.00     13.23      0.06      0.75      0.00      1.25      0.00     19.15
12:56:49 AM     all     62.03      0.00     19.70      0.00      0.25      0.00      2.42      0.00     15.60
12:56:51 AM     all     59.11      0.00     18.92      0.06      0.45      0.00      2.48      0.00     18.98
12:56:53 AM     all     67.50      0.00     11.40      0.00      0.19      0.00      1.31      0.00     19.60
12:56:55 AM     all     61.85      0.00     19.10      0.00      0.25      0.00      1.95      0.00     16.83
12:56:57 AM     all     66.21      0.00     11.96      0.06      0.25      0.00      1.01      0.00     20.52
12:56:59 AM     all     58.27      0.00     20.70      0.00      0.32      0.00      2.17      0.00     18.53
12:57:01 AM     all     61.20      0.00     19.43      0.00      0.32      0.00      2.15      0.00     16.90
12:57:03 AM     all     67.53      0.00     10.49      0.00      0.19      0.00      0.88      0.00     20.92
12:57:05 AM     all     60.95      0.00     17.09      0.00      0.38      0.00      2.22      0.00     19.37
12:57:07 AM     all     65.88      0.00     16.45      0.00      0.51      0.00      2.17      0.00     14.99
12:57:09 AM     all     72.82      0.00      8.60      0.00      0.25      0.00      0.82      0.00     17.51
12:57:11 AM     all     62.94      0.00     19.75      0.06      0.50      0.00      2.06      0.00     14.69
