Linux 3.4.68-59.97.amzn1.x86_64 (ip-192-168-100-86) 	02/09/2014 	_x86_64_	(8 CPU)

12:55:59 AM    proc/s   cswch/s
12:56:01 AM     11.17  15264.47
12:56:03 AM     13.43  17305.47
12:56:05 AM     25.89   9508.12
12:56:07 AM     30.15   7328.64
12:56:09 AM     27.14   7959.30
12:56:11 AM     44.67  10943.65
12:56:13 AM    101.01  11332.83
12:56:15 AM     97.51  11274.13
12:56:17 AM    127.50  13779.50
12:56:19 AM    184.92  22351.76
12:56:21 AM    210.77  24942.56
12:56:23 AM    240.30  23915.92
12:56:25 AM    247.98  24180.81
12:56:27 AM    179.40  13329.65
12:56:29 AM    406.47  27754.23
12:56:31 AM    257.79  18041.21
12:56:33 AM    426.37  29233.33
12:56:35 AM    450.74  29256.65
12:56:37 AM    244.16  19268.02
12:56:39 AM    480.30  32459.60
12:56:41 AM    414.93  27800.00
12:56:43 AM    231.00  17182.50
12:56:45 AM    452.94  30769.12
12:56:47 AM    253.81  18795.43
12:56:49 AM    510.55  30978.89
12:56:51 AM    460.41  30843.15
12:56:53 AM    205.50  16413.50
12:56:55 AM    480.50  30174.50
12:56:57 AM    294.42  19122.34
12:56:59 AM    479.59  32856.12
12:57:01 AM    475.13  30848.22
12:57:03 AM    209.64  16376.65
12:57:05 AM    479.21  30212.38
12:57:07 AM    400.00  25684.18
12:57:09 AM    177.00  14288.00
12:57:11 AM    427.92  29572.59
