Linux 3.4.68-59.97.amzn1.x86_64 (ip-192-168-100-86) 	02/09/2014 	_x86_64_	(8 CPU)

12:55:59 AM   frmpg/s   bufpg/s   campg/s
12:56:01 AM  -8637.76      0.51     12.24
12:56:03 AM   -355.50      0.00      3.50
12:56:05 AM  -1455.05      0.51      1.01
12:56:07 AM  -4139.70      0.00      0.00
12:56:09 AM  -3303.52      0.00      2.51
12:56:11 AM  -5410.10      0.51      3.03
12:56:13 AM -14310.61      0.00      6.57
12:56:15 AM -17775.50      0.50     -0.50
12:56:17 AM -21545.00      0.00      3.00
12:56:19 AM -35484.92      0.00     14.07
12:56:21 AM -48422.56      1.03      0.51
12:56:23 AM -46413.93      0.00      3.48
12:56:25 AM -50021.61      1.01     14.57
12:56:27 AM  -8544.44      0.00     -0.51
12:56:29 AM   -431.19      0.00     19.31
12:56:31 AM -14491.37      0.00      0.51
12:56:33 AM  -1521.39      0.50     -2.49
12:56:35 AM  -4630.05      0.00     37.93
12:56:37 AM  -3559.00      0.50      8.50
12:56:39 AM    -67.18      0.00      1.03
12:56:41 AM  -5782.18      0.50      8.91
12:56:43 AM  19820.40      0.00     16.92
12:56:45 AM  -1690.69      0.00      7.84
12:56:47 AM  -1709.23      0.51      8.72
12:56:49 AM   1274.00      0.00     13.50
12:56:51 AM -13999.49      0.00      6.57
12:56:53 AM   4798.50      0.00     12.50
12:56:55 AM   -137.00      0.00     19.00
12:56:57 AM  -7017.26      0.51      8.12
12:56:59 AM  11154.64      0.00      9.79
12:57:01 AM  -3343.72      0.50     -1.01
12:57:03 AM  -6511.22      0.00     14.80
12:57:05 AM   -182.18      0.00     19.80
12:57:07 AM  -5873.60      0.00      3.05
12:57:09 AM  11901.51      0.00     16.08
12:57:11 AM   -300.51      0.00      8.12
