Linux 3.4.68-59.97.amzn1.x86_64 (ip-192-168-100-86) 	02/09/2014 	_x86_64_	(8 CPU)

12:55:59 AM    totsck    tcpsck    udpsck    rawsck   ip-frag    tcp-tw
12:56:01 AM       118        25        14         0         0      7561
12:56:03 AM       125        28        14         0         0     10542
12:56:05 AM       126        29        14         0         0     11079
12:56:07 AM       138        41        14         0         0     11600
12:56:09 AM       141        47        14         0         0     12165
12:56:11 AM       151        54        14         0         0     12978
12:56:13 AM       153        57        14         0         0     13930
12:56:15 AM       156        59        14         0         0     15008
12:56:17 AM       153        59        14         0         0     16371
12:56:19 AM       152        58        15         0         0     19717
12:56:21 AM       148        59        14         0         0     23432
12:56:23 AM       150        58        14         0         0     26935
12:56:25 AM       165        71        14         0         0     28226
12:56:27 AM       160        64        14         0         0     28227
12:56:29 AM       168        75        14         0         0     28229
12:56:31 AM       166        76        14         0         0     28229
12:56:33 AM       167        77        14         0         0     28232
12:56:35 AM       172        78        14         0         0     28232
12:56:37 AM       171        81        14         0         0     28233
12:56:39 AM       171        79        14         0         0     28239
12:56:41 AM       178        81        14         0         0     28240
12:56:43 AM       175        78        16         0         0     28252
12:56:45 AM       167        76        14         0         0     28253
12:56:47 AM       171        74        14         0         0     28254
12:56:49 AM       171        77        14         0         0     28254
12:56:51 AM       167        80        14         0         0     28254
12:56:53 AM       169        76        14         0         0     28255
12:56:55 AM       169        80        14         0         0     28256
12:56:57 AM       170        80        14         0         0     28257
12:56:59 AM       173        79        14         0         0     28260
12:57:01 AM       172        79        14         0         0     28259
12:57:03 AM       173        78        15         0         0     28248
12:57:05 AM       173        79        14         0         0     28248
12:57:07 AM       171        80        14         0         0     28246
12:57:09 AM       173        79        14         0         0     28246
12:57:11 AM       167        80        14         0         0     28244
