Linux 3.4.68-59.97.amzn1.x86_64 (ip-192-168-100-86) 	02/09/2014 	_x86_64_	(8 CPU)

12:55:59 AM  active/s passive/s    iseg/s    oseg/s
12:56:01 AM      0.00   1522.96  15239.29  15240.82
12:56:03 AM      0.00   1480.10  14798.51  14799.50
12:56:05 AM      0.00    273.10   2786.80   2809.64
12:56:07 AM     12.06    255.28   2649.75   2690.95
12:56:09 AM      3.02    283.92   2898.99   2928.14
12:56:11 AM      3.57    414.80   4262.76   4326.53
12:56:13 AM      2.49    475.62   4981.59   5113.93
12:56:15 AM      0.00    541.21   5634.17   5768.34
12:56:17 AM      0.00    686.50   7149.00   7324.00
12:56:19 AM      0.00   1673.87  17128.64  17365.83
12:56:21 AM      0.00   1906.15  19531.79  19824.62
12:56:23 AM      0.00   1744.78  17945.27  18267.16
12:56:25 AM      6.50   1655.50  17098.00  17463.00
12:56:27 AM      0.00    892.46   9274.37   9520.60
12:56:29 AM      3.48   1720.90  18074.63  18710.45
12:56:31 AM      0.00   1155.05  12098.99  12485.86
12:56:33 AM      2.50   1843.50  19289.50  19906.00
12:56:35 AM      0.99   1752.22  18442.86  19133.00
12:56:37 AM      0.51   1255.84  13040.10  13381.73
12:56:39 AM      1.52   1907.58  20022.22  20741.41
12:56:41 AM      0.50   1627.23  17128.22  17785.15
12:56:43 AM      4.50    950.50   9948.50  10279.50
12:56:45 AM      1.95   1818.54  19117.07  19790.73
12:56:47 AM      0.00   1129.59  11850.51  12260.20
12:56:49 AM      0.00   1890.45  19875.38  20666.33
12:56:51 AM      0.00   1832.99  19261.93  19951.78
12:56:53 AM      0.50    964.50  10031.00  10325.50
12:56:55 AM      1.00   1843.00  19398.00  20126.00
12:56:57 AM      1.02   1042.64  11023.86  11495.43
12:56:59 AM      2.04   1933.16  20264.80  20986.22
12:57:01 AM      0.00   1840.40  19363.64  20114.65
12:57:03 AM      0.51    938.46   9784.62  10083.59
12:57:05 AM      0.00   1635.96  17305.42  18074.38
12:57:07 AM      0.00   1540.82  16222.96  16833.16
12:57:09 AM      0.00    715.58   7502.51   7784.42
12:57:11 AM      0.00   1830.15  19128.64  19756.78
