Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab02.managed.contegix.com) 	03/20/2014 	_x86_64_	(24 CPU)

05:05:32 PM   frmpg/s   bufpg/s   campg/s
05:05:34 PM  -6263.50      0.00      9.00
05:05:36 PM   -177.00      0.00      1.50
05:05:38 PM  -1069.35      0.00      0.00
05:05:40 PM   -316.50      0.00      1.00
05:05:42 PM    220.10      0.00      0.50
05:05:44 PM    120.20      0.00      1.01
05:05:46 PM   -190.91      0.00      1.01
05:05:48 PM    -62.63      0.00      0.51
05:05:50 PM    123.00      0.00      1.00
05:05:52 PM    176.65      0.00      0.51
05:05:54 PM   -111.86      0.00      1.03
05:05:56 PM    226.15      0.00      1.54
05:05:58 PM    819.39      0.00      0.00
05:06:00 PM     44.10      0.00      1.54
05:06:02 PM    -13.71      0.00      0.51
05:06:04 PM    202.01      0.00      0.50
05:06:06 PM    -65.66      0.00      1.01
05:06:08 PM     74.37      0.00      0.00
05:06:10 PM     59.39      0.00      1.02
05:06:12 PM    -61.93      0.00      1.02
05:06:14 PM     45.92      0.00      1.02
05:06:16 PM     48.72      0.00      0.51
05:06:18 PM    -96.41      0.00      0.51
05:06:20 PM     90.77      0.00      1.03
05:06:22 PM   -116.33      0.00      1.02
05:06:24 PM    -88.38      0.00      0.51
05:06:26 PM      6.50      0.00      1.00
05:06:28 PM   -127.64      0.00      0.00
