Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab02.managed.contegix.com) 	03/20/2014 	_x86_64_	(24 CPU)

05:05:32 PM  pswpin/s pswpout/s
05:05:34 PM      0.00      0.00
05:05:36 PM      0.00      0.00
05:05:38 PM      0.00      0.00
05:05:40 PM      0.00      0.00
05:05:42 PM      0.00      0.00
05:05:44 PM      0.00      0.00
05:05:46 PM      0.00      0.00
05:05:48 PM      0.00      0.00
05:05:50 PM      0.00      0.00
05:05:52 PM      0.00      0.00
05:05:54 PM      0.00      0.00
05:05:56 PM      0.00      0.00
05:05:58 PM      0.00      0.00
05:06:00 PM      0.00      0.00
05:06:02 PM      0.00      0.00
05:06:04 PM      0.00      0.00
05:06:06 PM      0.00      0.00
05:06:08 PM      0.00      0.00
05:06:10 PM      0.00      0.00
05:06:12 PM      0.00      0.00
05:06:14 PM      0.00      0.00
05:06:16 PM      0.00      0.00
05:06:18 PM      0.00      0.00
05:06:20 PM      0.00      0.00
05:06:22 PM      0.00      0.00
05:06:24 PM      0.00      0.00
05:06:26 PM      0.00      0.00
05:06:28 PM      0.00      0.00
