Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab02.managed.contegix.com) 	03/20/2014 	_x86_64_	(24 CPU)

05:17:43 PM    proc/s   cswch/s
05:17:45 PM     51.53  25967.35
05:17:47 PM     13.13  25708.59
05:17:49 PM     13.99  27398.96
05:17:51 PM      8.21  28763.59
05:17:53 PM      8.12  29684.77
05:17:55 PM      5.50  27295.00
05:17:57 PM      5.53  28450.75
05:17:59 PM      5.50  29161.50
05:18:01 PM      5.08  28462.94
05:18:03 PM      5.00  28565.00
05:18:05 PM      5.50  27890.50
05:18:07 PM      5.47  27436.82
05:18:09 PM      5.58  28608.12
05:18:11 PM      5.53  28055.78
05:18:13 PM      5.56  27917.68
05:18:15 PM      5.53  28634.67
05:18:17 PM      5.64  28923.59
05:18:19 PM      5.56  28370.20
05:18:21 PM      5.05  28902.53
05:18:23 PM      3.52  27880.40
05:18:25 PM      5.50  28487.00
05:18:27 PM      7.07  29813.13
05:18:29 PM     13.43  27780.60
05:18:31 PM     12.63  27560.61
05:18:33 PM      8.72  30325.13
05:18:35 PM     16.24  29880.71
05:18:37 PM     14.36  29224.10
05:18:39 PM      7.11  27332.99
05:18:41 PM      5.58  29218.78
05:18:43 PM      5.50  29111.00
05:18:45 PM     16.67  29746.97
05:18:47 PM      7.07  30564.65
05:18:49 PM      8.08  30305.56
05:18:51 PM      8.54  28677.39
05:18:53 PM      8.16  29673.47
05:18:55 PM      5.58  29775.13
05:18:57 PM      5.05  29420.20
05:18:59 PM      3.55  28917.26
05:19:01 PM      5.53  28940.20
05:19:03 PM      7.07  28760.10
05:19:05 PM      5.53  28821.61
05:19:07 PM      5.53  28588.44
05:19:09 PM      5.53  28861.81
05:19:11 PM      5.50  28570.00
05:19:13 PM      5.56  29000.51
05:19:15 PM      5.53  29087.94
05:19:17 PM      5.03  29704.02
05:19:19 PM      3.52  28204.02
05:19:21 PM      5.56  28996.46
05:19:23 PM      5.61  28479.08
05:19:25 PM      5.64  28633.85
05:19:27 PM      7.14  29038.27
05:19:29 PM     15.31  29459.69
05:19:31 PM     11.22  29142.35
05:19:33 PM      8.54  28394.97
05:19:35 PM     15.58  28420.10
05:19:37 PM     12.12  28816.67
05:19:39 PM      7.07  30157.58
05:19:41 PM      7.50  27937.00
05:19:43 PM      5.50  30421.00
05:19:45 PM     16.58  29654.77
05:19:47 PM      7.07  29825.25
05:19:49 PM      8.12  30926.90
05:19:51 PM      8.00  29648.00
05:19:53 PM      8.16  29877.04
05:19:55 PM      5.61  30789.80
05:19:57 PM      3.57  29136.22
05:19:59 PM      5.64  29749.23
05:20:01 PM      5.58  29552.79
05:20:03 PM      8.00  28493.00
05:20:05 PM      6.06  29455.05
05:20:07 PM      5.53  31748.24
05:20:09 PM      5.56  31113.13
05:20:11 PM      5.56  29529.29
05:20:13 PM      5.67  32606.70
05:20:15 PM      5.15  31365.98
05:20:17 PM      3.57  32754.59
05:20:19 PM      5.64  32064.62
05:20:21 PM      5.61  32345.41
05:20:23 PM      5.53  31078.89
05:20:25 PM      5.53  30689.95
05:20:27 PM      7.00  30652.00
05:20:29 PM     15.15  31705.05
05:20:31 PM     11.17  32595.94
05:20:33 PM      8.67  31380.61
05:20:35 PM     15.90  31670.77
05:20:37 PM     12.18  32423.86
05:20:39 PM      7.25  32450.78
05:20:41 PM      7.14  32080.61
05:20:43 PM      5.58  31888.83
05:20:45 PM     16.50  31098.50
05:20:47 PM      8.08  31460.61
05:20:49 PM      7.11  32457.87
05:20:51 PM      8.04  32803.02
05:20:53 PM      8.21  31803.08
05:20:55 PM      3.09  31529.38
05:20:57 PM      5.64  31715.90
05:20:59 PM      5.70  31952.85
05:21:01 PM      6.70  32113.40
05:21:03 PM      6.06  31338.89
05:21:05 PM      5.56  31471.72
05:21:07 PM      5.53  32519.60
05:21:09 PM      6.09  32124.37
05:21:11 PM      5.64  31756.41
05:21:13 PM      5.08  31331.47
05:21:15 PM      3.63  31509.33
05:21:17 PM      5.70  36812.95
05:21:19 PM      5.67  38565.98
05:21:21 PM      6.19  37354.12
05:21:23 PM      5.56  37134.34
05:21:25 PM      5.58  36905.08
05:21:27 PM      7.00  36341.50
05:21:29 PM     15.23  35836.55
05:21:31 PM     11.62  34425.76
05:21:33 PM      8.85  38076.04
05:21:35 PM     16.15  36496.88
05:21:37 PM     12.44  38486.53
05:21:39 PM      7.33  37264.40
05:21:41 PM      7.18  36629.74
05:21:43 PM      5.58  36491.88
05:21:45 PM     16.75  35625.38
05:21:47 PM      8.59  34306.57
05:21:49 PM      7.11  35643.15
05:21:51 PM      8.12  35428.93
05:21:53 PM      8.29  38529.53
05:21:55 PM      5.21  38585.42
05:21:57 PM      3.65  37785.42
05:21:59 PM      5.70  37978.76
05:22:01 PM      6.74  37565.80
05:22:03 PM      6.06  36529.80
05:22:05 PM      5.56  37331.31
05:22:07 PM      5.61  36579.59
05:22:09 PM      5.56  35536.87
05:22:11 PM      5.61  35600.00
05:22:13 PM      5.70  37577.20
05:22:15 PM      5.13  36503.59
05:22:17 PM      3.61  38555.67
05:22:19 PM      5.73  37878.65
05:22:21 PM      5.64  35757.44
05:22:23 PM      5.58  33971.57
05:22:25 PM      6.03  41210.55
05:22:27 PM      7.11  41182.74
05:22:29 PM     15.38  40057.44
05:22:31 PM     11.11  41625.76
05:22:33 PM      8.85  43294.79
05:22:35 PM     16.67  43645.83
05:22:37 PM     12.31  42900.51
05:22:39 PM      7.29  43093.23
05:22:41 PM      7.11  40925.38
05:22:43 PM      5.58  41770.56
05:22:45 PM     16.75  37978.68
05:22:47 PM      8.08  40101.52
05:22:49 PM      6.09  40810.15
05:22:51 PM      8.21  42414.87
05:22:53 PM      8.29  42907.77
05:22:55 PM      5.26  42983.68
05:22:57 PM      3.14  44982.20
05:22:59 PM      4.66  42035.75
05:23:01 PM      6.74  41984.97
05:23:03 PM      6.03  42149.25
05:23:05 PM      5.58  42407.11
05:23:07 PM      5.53  39825.63
05:23:09 PM      5.58  43071.07
05:23:11 PM      5.64  40532.31
05:23:13 PM      5.73  42843.75
05:23:15 PM      5.21  44015.10
05:23:17 PM      3.65  44072.92
05:23:19 PM      5.76  42621.47
05:23:21 PM      5.67  44430.93
05:23:23 PM      5.56  40140.40
05:23:25 PM      5.50  40837.00
05:23:27 PM      7.07  40009.09
05:23:29 PM     13.20  36671.07
05:23:31 PM     13.20  45978.68
05:23:33 PM      8.81  44829.02
05:23:35 PM     16.75  45157.59
05:23:37 PM     12.17  48385.19
05:23:39 PM      7.81  44829.69
05:23:41 PM      7.22  43429.38
05:23:43 PM      5.56  42186.36
05:23:45 PM     16.75  39978.17
05:23:47 PM      8.12  43780.71
05:23:49 PM      7.18  46473.85
05:23:51 PM      8.67  45411.22
05:23:53 PM      8.29  44495.34
05:23:55 PM      5.67  46552.58
05:23:57 PM      5.26  47761.05
05:23:59 PM      3.63  43245.60
05:24:01 PM      7.25  43695.34
05:24:03 PM      5.58  47321.83
05:24:05 PM      5.58  47305.58
05:24:07 PM      5.56  46580.81
05:24:09 PM      5.56  47151.01
05:24:11 PM      5.67  47755.67
05:24:13 PM      5.73  41853.65
05:24:15 PM      6.19  46130.41
05:24:17 PM      5.18  47941.97
05:24:19 PM      3.68  46833.16
05:24:21 PM      5.64  44680.51
05:24:23 PM      5.56  45830.30
05:24:25 PM      5.58  45205.08
05:24:27 PM      7.11  44502.54
05:24:29 PM     15.15  44684.85
05:24:31 PM     11.28  45005.13
05:24:33 PM      9.84  47215.54
05:24:35 PM     15.54  35005.18
05:24:37 PM     14.66  45605.76
05:24:39 PM      6.81  47613.61
05:24:41 PM      5.15  47671.65
05:24:43 PM      5.64  46009.23
05:24:45 PM     17.53  46918.56
05:24:47 PM      8.08  45107.07
05:24:49 PM      7.07  46538.89
05:24:51 PM      8.29  44735.75
05:24:53 PM      8.08  45496.46
05:24:55 PM      6.03  45283.92
05:24:57 PM      5.64  46958.46
05:24:59 PM      5.56  44744.44
05:25:01 PM      6.57  40458.59
05:25:03 PM      3.54  43195.45
05:25:05 PM      6.09  43499.49
05:25:07 PM      5.53  42936.18
05:25:09 PM      5.56  43712.63
05:25:11 PM      5.64  44819.49
05:25:13 PM      5.73  47116.15
05:25:15 PM      5.76  47814.14
05:25:17 PM      5.76  45310.99
05:25:19 PM      5.76  47820.42
05:25:21 PM      5.73  46947.92
05:25:23 PM      5.08  44583.76
05:25:25 PM      3.57  40950.51
05:25:27 PM      7.11  39583.25
05:25:29 PM     15.15  36075.25
05:25:31 PM     11.40  44915.03
05:25:33 PM      9.84  45288.08
05:25:35 PM     15.87  48474.07
05:25:37 PM     14.74  45173.16
05:25:39 PM      7.25  37601.55
05:25:41 PM      7.25  39961.66
05:25:43 PM      5.56  38976.77
05:25:45 PM     16.24  37347.72
05:25:47 PM      6.06  35241.41
05:25:49 PM      7.07  35809.60
