Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab02.managed.contegix.com) 	03/20/2014 	_x86_64_	(24 CPU)

05:17:43 PM  active/s passive/s    iseg/s    oseg/s
05:17:45 PM      0.51      0.00  25779.08  25784.18
05:17:47 PM      0.51      0.00  30573.10  30575.13
05:17:49 PM      0.00      0.00  33659.59  33658.55
05:17:51 PM      0.51      0.00  35335.03  35334.01
05:17:53 PM      0.51      0.00  37912.18  37910.66
05:17:55 PM      0.00      0.00  37089.55  37088.06
05:17:57 PM      0.51      0.00  37516.16  37526.26
05:17:59 PM      0.50      0.00  36342.21  36334.17
05:18:01 PM      0.00      0.00  37117.50  37123.00
05:18:03 PM      0.50      0.00  37068.00  37062.50
05:18:05 PM      0.50      0.00  37457.00  37460.50
05:18:07 PM      0.00      0.00  37153.00  37154.00
05:18:09 PM      0.51      0.00  37988.89  37982.83
05:18:11 PM      0.51      0.00  37720.20  37721.72
05:18:13 PM      0.00      0.00  37618.18  37622.73
05:18:15 PM      0.50      0.00  37713.07  37713.57
05:18:17 PM      0.51      0.00  38066.84  38064.29
05:18:19 PM      0.00      0.00  38133.50  38131.47
05:18:21 PM      0.51      0.00  37376.77  37384.34
05:18:23 PM      0.50      0.00  37800.50  37791.46
05:18:25 PM      0.00      0.00  37258.00  37265.00
05:18:27 PM      0.51      0.00  37253.81  37245.18
05:18:29 PM      0.50      0.00  36604.48  36613.43
05:18:31 PM      0.00      0.00  36906.03  36899.50
05:18:33 PM      0.52      0.00  41360.82  41360.82
05:18:35 PM      0.51      0.00  38585.71  38585.71
05:18:37 PM      0.00      0.00  38709.64  38715.74
05:18:39 PM      0.51      0.00  39581.54  39574.36
05:18:41 PM      0.51      0.00  39357.58  39365.15
05:18:43 PM      0.00      0.00  38431.66  38431.16
05:18:45 PM      0.50      0.00  38689.95  38686.43
05:18:47 PM      0.51      0.00  38213.64  38216.67
05:18:49 PM      0.00      0.00  39131.31  39133.33
05:18:51 PM      0.51      0.00  38293.94  38290.40
05:18:53 PM      0.51      0.00  37485.28  37481.22
05:18:55 PM      0.00      0.00  38008.63  38021.32
05:18:57 PM      0.51      0.00  38012.69  38007.11
05:18:59 PM      0.50      0.00  37914.57  37925.13
05:19:01 PM      0.00      0.00  37928.79  37923.74
05:19:03 PM      0.50      0.00  37756.28  37754.77
05:19:05 PM      0.51      0.00  37265.66  37256.57
05:19:07 PM      0.00      0.00  37724.62  37734.67
05:19:09 PM      0.50      0.00  38354.27  38343.22
05:19:11 PM      0.50      0.00  37556.50  37559.50
05:19:13 PM      0.00      0.00  38149.49  38158.59
05:19:15 PM      0.50      0.00  37097.49  37094.97
