Time      numa_hit numa_miss numa_foreign numa_interleave numa_local numa_other
22:17:43  604461949 0         0            41252           604434340  27609     
22:17:45  604486868 0         0            41252           604459259  27609     
22:17:47  604511278 0         0            41252           604483669  27609     
22:17:49  604532685 0         0            41252           604505076  27609     
22:17:51  604555281 0         0            41252           604527672  27609     
22:17:53  604578697 0         0            41252           604551088  27609     
22:17:55  604599742 0         0            41252           604572133  27609     
22:17:57  604620918 0         0            41252           604593309  27609     
22:17:59  604642144 0         0            41252           604614535  27609     
22:18:01  604664987 0         0            41252           604637378  27609     
22:18:03  604686560 0         0            41252           604658951  27609     
22:18:05  604707404 0         0            41252           604679795  27609     
22:18:07  604727538 0         0            41252           604699929  27609     
22:18:09  604748510 0         0            41252           604720901  27609     
22:18:11  604770284 0         0            41252           604742675  27609     
22:18:13  604791471 0         0            41252           604763862  27609     
22:18:15  604812757 0         0            41252           604785148  27609     
22:18:17  604834163 0         0            41252           604806554  27609     
22:18:20  604855343 0         0            41252           604827734  27609     
22:18:22  604876734 0         0            41252           604849125  27609     
22:18:24  604897773 0         0            41252           604870164  27609     
22:18:26  604918654 0         0            41252           604891045  27609     
22:18:28  604940517 0         0            41252           604912908  27609     
22:18:30  604972588 0         0            41252           604944979  27609     
22:18:32  604999072 0         0            41252           604971463  27609     
22:18:34  605027141 0         0            41252           604999531  27610     
22:18:36  605051938 0         0            41252           605024328  27610     
22:18:38  605075318 0         0            41252           605047708  27610     
22:18:40  605098918 0         0            41252           605071308  27610     
22:18:42  605122949 0         0            41252           605095339  27610     
22:18:44  605144531 0         0            41252           605116921  27610     
22:18:46  605172163 0         0            41252           605144553  27610     
22:18:48  605195727 0         0            41252           605168117  27610     
22:18:50  605219871 0         0            41252           605192261  27610     
22:18:52  605242746 0         0            41252           605215136  27610     
22:18:54  605265990 0         0            41252           605238379  27611     
22:18:56  605287254 0         0            41252           605259643  27611     
22:18:58  605308149 0         0            41252           605280538  27611     
22:19:00  605329596 0         0            41252           605301985  27611     
22:19:02  605352719 0         0            41252           605325108  27611     
22:19:04  605374352 0         0            41252           605346741  27611     
22:19:06  605394969 0         0            41252           605367358  27611     
22:19:08  605415339 0         0            41252           605387728  27611     
22:19:10  605436736 0         0            41252           605409125  27611     
22:19:12  605458194 0         0            41252           605430583  27611     
22:19:14  605479143 0         0            41252           605451532  27611     
22:19:16  605500139 0         0            41252           605472528  27611     
22:19:18  605521864 0         0            41252           605494253  27611     
22:19:20  605543384 0         0            41252           605515773  27611     
22:19:22  605564292 0         0            41252           605536681  27611     
22:19:24  605586418 0         0            41252           605558807  27611     
Time      numa_hit numa_miss numa_foreign numa_interleave numa_local numa_other
22:19:26  605607029 0         0            41252           605579418  27611     
22:19:28  605630278 0         0            41252           605602667  27611     
22:19:30  605663781 0         0            41252           605636170  27611     
22:19:32  605688459 0         0            41252           605660848  27611     
22:19:34  605715047 0         0            41252           605687436  27611     
22:19:36  605739426 0         0            41252           605711815  27611     
