Time      compact_pages_moved compact_stall compact_fail compact_success thp_fault_alloc thp_fault_fallback thp_collapse_alloc thp_collapse_alloc_failed thp_split
22:17:43  0                   0             0            0               86658           0                  1642               0                         245      
22:17:45  0                   0             0            0               86658           0                  1642               0                         245      
22:17:47  0                   0             0            0               86658           0                  1642               0                         245      
22:17:49  0                   0             0            0               86658           0                  1642               0                         245      
22:17:51  0                   0             0            0               86658           0                  1642               0                         245      
22:17:53  0                   0             0            0               86658           0                  1642               0                         245      
22:17:55  0                   0             0            0               86658           0                  1642               0                         245      
22:17:57  0                   0             0            0               86658           0                  1642               0                         245      
22:17:59  0                   0             0            0               86658           0                  1642               0                         245      
22:18:01  0                   0             0            0               86658           0                  1642               0                         245      
22:18:03  0                   0             0            0               86658           0                  1642               0                         245      
22:18:05  0                   0             0            0               86658           0                  1642               0                         245      
22:18:07  0                   0             0            0               86658           0                  1642               0                         245      
22:18:09  0                   0             0            0               86658           0                  1642               0                         245      
22:18:11  0                   0             0            0               86658           0                  1642               0                         245      
22:18:13  0                   0             0            0               86658           0                  1642               0                         245      
22:18:15  0                   0             0            0               86658           0                  1642               0                         245      
22:18:17  0                   0             0            0               86658           0                  1642               0                         245      
22:18:20  0                   0             0            0               86658           0                  1642               0                         245      
22:18:22  0                   0             0            0               86658           0                  1642               0                         245      
22:18:24  0                   0             0            0               86658           0                  1642               0                         245      
22:18:26  0                   0             0            0               86658           0                  1642               0                         245      
22:18:28  0                   0             0            0               86658           0                  1642               0                         245      
22:18:30  0                   0             0            0               86658           0                  1642               0                         245      
22:18:32  0                   0             0            0               86658           0                  1642               0                         245      
22:18:34  0                   0             0            0               86658           0                  1642               0                         245      
22:18:36  0                   0             0            0               86658           0                  1642               0                         245      
22:18:38  0                   0             0            0               86658           0                  1642               0                         245      
22:18:40  0                   0             0            0               86658           0                  1642               0                         245      
22:18:42  0                   0             0            0               86658           0                  1642               0                         245      
22:18:44  0                   0             0            0               86658           0                  1642               0                         245      
22:18:46  0                   0             0            0               86658           0                  1642               0                         245      
22:18:48  0                   0             0            0               86658           0                  1642               0                         245      
22:18:50  0                   0             0            0               86658           0                  1642               0                         245      
22:18:52  0                   0             0            0               86658           0                  1642               0                         245      
22:18:54  0                   0             0            0               86658           0                  1642               0                         245      
22:18:56  0                   0             0            0               86658           0                  1642               0                         245      
22:18:58  0                   0             0            0               86658           0                  1642               0                         245      
22:19:00  0                   0             0            0               86658           0                  1642               0                         245      
22:19:02  0                   0             0            0               86658           0                  1642               0                         245      
22:19:04  0                   0             0            0               86658           0                  1642               0                         245      
22:19:06  0                   0             0            0               86658           0                  1642               0                         245      
22:19:08  0                   0             0            0               86658           0                  1642               0                         245      
