Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab03.managed.contegix.com) 	03/20/2014 	_x86_64_	(24 CPU)

06:05:58 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
06:06:00 PM     all     69.91      0.00      3.17      0.00      0.00      0.00      1.38      0.00     25.54
06:06:02 PM     all     71.12      0.00      3.86      0.00      0.00      0.00      1.68      0.00     23.34
06:06:04 PM     all     71.02      0.00      4.09      0.00      0.00      0.00      2.10      0.00     22.79
06:06:06 PM     all     69.03      0.00      4.58      0.00      0.00      0.00      2.31      0.00     24.08
06:06:08 PM     all     69.52      0.00      5.41      0.00      0.00      0.00      2.78      0.00     22.30
06:06:10 PM     all     69.60      0.00      5.90      0.00      0.00      0.00      3.20      0.00     21.29
06:06:12 PM     all     68.06      0.00      6.03      0.00      0.00      0.00      3.12      0.00     22.80
06:06:14 PM     all     68.71      0.00      6.10      0.00      0.00      0.00      3.02      0.00     22.18
06:06:16 PM     all     68.05      0.00      5.79      0.00      0.00      0.00      2.85      0.00     23.31
06:06:18 PM     all     67.66      0.00      5.73      0.00      0.00      0.00      2.93      0.00     23.69
06:06:20 PM     all     68.76      0.00      5.99      0.00      0.00      0.02      3.04      0.00     22.20
06:06:22 PM     all     69.20      0.00      6.47      0.00      0.00      0.00      2.91      0.00     21.42
06:06:24 PM     all     68.93      0.00      6.37      0.00      0.00      0.00      3.09      0.00     21.60
06:06:26 PM     all     68.85      0.00      6.06      0.00      0.00      0.00      3.15      0.00     21.93
06:06:28 PM     all     67.86      0.00      6.36      0.00      0.00      0.00      3.13      0.00     22.64
06:06:30 PM     all     68.31      0.00      6.18      0.00      0.00      0.02      3.00      0.00     22.49
06:06:32 PM     all     68.31      0.00      5.98      0.00      0.00      0.00      3.09      0.00     22.62
06:06:34 PM     all     68.99      0.00      5.97      0.00      0.00      0.00      2.95      0.00     22.08
06:06:36 PM     all     67.68      0.00      5.97      0.00      0.00      0.00      2.92      0.00     23.43
06:06:38 PM     all     68.41      0.00      5.83      0.00      0.00      0.00      2.93      0.00     22.83
06:06:40 PM     all     68.06      0.00      6.09      0.00      0.00      0.00      2.89      0.00     22.96
06:06:42 PM     all     69.80      0.00      6.04      0.00      0.00      0.00      2.84      0.00     21.31
06:06:44 PM     all     68.68      0.00      5.96      0.00      0.00      0.00      2.89      0.00     22.47
06:06:46 PM     all     68.34      0.00      6.15      0.00      0.00      0.00      2.74      0.00     22.78
06:06:48 PM     all     68.82      0.00      6.24      0.00      0.00      0.00      2.94      0.00     22.00
06:06:50 PM     all     67.71      0.00      6.23      0.00      0.00      0.00      2.72      0.00     23.34
06:06:52 PM     all     68.20      0.00      5.83      0.00      0.00      0.00      3.00      0.00     22.97
06:06:54 PM     all     67.08      0.00      5.69      0.00      0.00      0.00      2.91      0.00     24.32
06:06:56 PM     all     69.00      0.00      5.98      0.00      0.00      0.02      2.92      0.00     22.08
06:06:58 PM     all     67.80      0.00      6.09      0.00      0.00      0.00      2.84      0.00     23.26
06:07:00 PM     all     68.18      0.00      5.86      0.00      0.00      0.00      2.76      0.00     23.19
06:07:02 PM     all     68.88      0.00      6.25      0.00      0.00      0.00      2.88      0.00     21.99
06:07:04 PM     all     68.75      0.00      6.27      0.00      0.00      0.00      2.88      0.00     22.10
06:07:06 PM     all     67.68      0.00      6.29      0.00      0.00      0.00      2.74      0.00     23.29
06:07:08 PM     all     67.10      0.00      6.35      0.00      0.00      0.02      2.86      0.00     23.66
06:07:10 PM     all     68.88      0.00      6.39      0.00      0.00      0.00      3.00      0.00     21.73
06:07:12 PM     all     68.11      0.00      6.13      0.00      0.00      0.00      2.82      0.00     22.94
06:07:14 PM     all     69.68      0.00      5.93      0.00      0.00      0.00      2.84      0.00     21.55
06:07:16 PM     all     68.46      0.00      6.03      0.00      0.00      0.00      3.07      0.00     22.44
06:07:18 PM     all     68.01      0.00      5.83      0.00      0.00      0.00      2.82      0.00     23.33
06:07:20 PM     all     68.44      0.00      6.28      0.00      0.00      0.00      2.95      0.00     22.33
06:07:22 PM     all     67.13      0.00      6.41      0.00      0.00      0.00      2.80      0.00     23.66
06:07:24 PM     all     68.43      0.00      6.04      0.00      0.00      0.00      2.71      0.00     22.82
06:07:26 PM     all     68.91      0.00      6.20      0.00      0.00      0.00      2.86      0.00     22.04
06:07:28 PM     all     69.01      0.00      6.35      0.00      0.00      0.00      2.74      0.00     21.91
06:07:30 PM     all     67.15      0.00      6.03      0.00      0.00      0.00      2.77      0.00     24.04
06:07:32 PM     all     67.26      0.00      5.95      0.00      0.00      0.00      2.88      0.00     23.91
06:07:34 PM     all     68.67      0.00      6.05      0.00      0.00      0.00      2.61      0.00     22.67
06:07:36 PM     all     69.87      0.00      6.09      0.00      0.00      0.00      2.76      0.00     21.29
06:07:38 PM     all     23.09      0.00      2.78      0.00      0.00      0.02      0.96      0.00     73.14
