Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab03.managed.contegix.com) 	03/20/2014 	_x86_64_	(24 CPU)

06:05:58 PM  active/s passive/s    iseg/s    oseg/s
06:06:00 PM      0.51      0.00  21620.00  21625.13
06:06:02 PM      0.51      0.00  25048.73  25047.21
06:06:04 PM      0.00      0.00  25060.71  25062.76
06:06:06 PM      0.52      0.00  26842.78  26841.75
06:06:08 PM      0.51      0.00  32003.54  32003.54
06:06:10 PM      0.00      0.00  38065.31  38065.82
06:06:12 PM      0.51      0.00  37443.59  37443.59
06:06:14 PM      0.51      0.00  38088.21  38091.28
06:06:16 PM      0.00      0.00  38978.57  38978.57
06:06:18 PM      0.52      0.00  38562.37  38560.82
06:06:20 PM      0.51      0.00  38079.49  38077.95
06:06:22 PM      0.00      0.00  36900.00  36900.00
06:06:24 PM      0.51      0.00  37753.06  37750.00
06:06:26 PM      0.52      0.00  38354.64  38355.67
06:06:28 PM      0.00      0.00  37806.15  37805.64
06:06:30 PM      0.51      0.00  37925.00  37929.08
06:06:32 PM      0.51      0.00  37975.38  37973.33
06:06:34 PM      0.00      0.00  38467.69  38470.26
06:06:36 PM      0.51      0.00  37606.60  37602.54
06:06:38 PM      0.51      0.00  37689.34  37691.88
06:06:40 PM      0.00      0.00  37902.56  37898.46
06:06:42 PM      0.51      0.00  38525.00  38527.04
06:06:44 PM      0.51      0.00  38078.46  38079.49
06:06:46 PM      0.00      0.00  38069.23  38070.26
06:06:48 PM      0.51      0.00  38779.08  38780.10
06:06:50 PM      0.51      0.00  38676.41  38671.28
06:06:52 PM      0.00      0.00  37927.18  37928.21
06:06:54 PM      0.51      0.00  37490.82  37492.86
06:06:56 PM      0.51      0.00  37904.04  37903.54
06:06:58 PM      0.00      0.00  37216.67  37223.74
06:07:00 PM      0.52      0.00  38104.15  38097.93
06:07:02 PM      0.51      0.00  38489.74  38494.87
06:07:04 PM      0.00      0.00  37838.07  37835.53
06:07:06 PM      0.51      0.00  36869.74  36872.82
06:07:08 PM      0.50      0.00  36297.99  36297.99
06:07:10 PM      0.00      0.00  38086.15  38085.13
06:07:12 PM      0.51      0.00  37645.64  37641.54
06:07:14 PM      0.51      0.00  38358.67  38362.24
06:07:16 PM      0.00      0.00  37841.03  37840.00
06:07:18 PM      0.51      0.00  37217.26  37216.75
06:07:20 PM      0.51      0.00  37698.98  37699.49
06:07:22 PM      0.00      0.00  36459.79  36459.79
06:07:24 PM      0.51      0.00  37669.23  37669.23
06:07:26 PM      0.51      0.00  38335.38  38337.95
06:07:28 PM      0.00      0.00  39174.23  39170.10
06:07:30 PM      0.51      0.00  37446.43  37448.98
06:07:32 PM      0.51      0.00  36945.69  36943.15
06:07:34 PM      0.00      0.00  38683.33  38682.81
06:07:36 PM      0.51      0.00  38445.96  38450.00
06:07:38 PM      0.51      0.00  12875.25  12900.51
