Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab06.managed.contegix.com) 	06/18/2014 	_x86_64_	(24 CPU)

05:18:49 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
05:18:51 PM     all      7.02      0.00      1.68      0.00      0.00      0.00      0.13      0.00     91.17
05:18:53 PM     all      5.46      0.00      1.58      0.00      0.00      0.00      0.17      0.00     92.79
05:18:55 PM     all      6.52      0.25      1.79      0.00      0.00      0.00      0.19      0.00     91.25
05:18:57 PM     all      5.68      0.67      1.70      0.00      0.00      0.00      0.15      0.00     91.80
05:18:59 PM     all      5.65      0.13      1.55      0.00      0.00      0.00      0.15      0.00     92.52
05:19:01 PM     all      5.80      0.25      1.62      0.00      0.00      0.00      0.13      0.00     92.21
05:19:03 PM     all      5.58      0.10      1.39      0.00      0.00      0.00      0.23      0.00     92.69
05:19:05 PM     all      5.83      1.30      1.78      0.00      0.00      0.00      0.15      0.00     90.94
05:19:07 PM     all      7.05      0.38      1.55      0.00      0.00      0.00      0.15      0.00     90.88
05:19:09 PM     all      5.69      0.31      1.59      0.00      0.00      0.00      0.17      0.00     92.24
05:19:11 PM     all      5.75      0.90      2.01      0.00      0.00      0.00      0.10      0.00     91.23
05:19:13 PM     all      5.75      0.86      1.83      0.00      0.00      0.00      0.17      0.00     91.39
05:19:15 PM     all      5.67      0.04      1.59      0.00      0.00      0.00      0.15      0.00     92.55
05:19:17 PM     all      5.69      0.19      1.62      0.00      0.00      0.00      0.17      0.00     92.34
05:19:19 PM     all      5.71      0.23      1.83      0.00      0.00      0.00      0.23      0.00     92.00
05:19:21 PM     all      7.23      0.23      1.59      0.00      0.00      0.00      0.21      0.00     90.74
05:19:23 PM     all      5.75      0.02      1.43      0.00      0.00      0.00      0.17      0.00     92.64
05:19:25 PM     all      5.48      0.00      1.43      0.00      0.00      0.00      0.10      0.00     92.99
05:19:27 PM     all      5.69      0.00      1.62      0.00      0.00      0.00      0.08      0.00     92.61
05:19:29 PM     all      5.71      0.00      1.47      0.00      0.00      0.00      0.23      0.00     92.59
05:19:31 PM     all      5.78      0.00      1.59      0.00      0.00      0.00      0.19      0.00     92.44
05:19:33 PM     all      6.52      0.00      1.49      0.00      0.00      0.00      0.17      0.00     91.83
05:19:35 PM     all      5.83      0.00      1.53      0.00      0.00      0.00      0.19      0.00     92.44
05:19:37 PM     all      6.01      0.00      1.55      0.00      0.00      0.00      0.08      0.00     92.35
05:19:39 PM     all      5.78      0.00      1.53      0.00      0.00      0.00      0.11      0.00     92.59
05:19:41 PM     all      5.62      0.00      1.72      0.00      0.00      0.00      0.10      0.00     92.55
05:19:43 PM     all      5.95      0.00      1.74      0.00      0.00      0.00      0.06      0.00     92.24
