Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab06.managed.contegix.com) 	06/18/2014 	_x86_64_	(24 CPU)

05:18:49 PM    proc/s   cswch/s
05:18:51 PM     19.00  25304.00
05:18:53 PM      6.00  26786.50
05:18:55 PM      8.04  29823.12
05:18:57 PM     18.88  33103.57
05:18:59 PM      7.04  33247.24
05:19:01 PM      7.58  38179.80
05:19:03 PM      7.58  37773.74
05:19:05 PM     15.23  33723.35
05:19:07 PM     12.00  31738.50
05:19:09 PM      7.54  30719.60
05:19:11 PM     11.50  30865.50
05:19:13 PM     13.20  33071.57
05:19:15 PM     14.57  27820.60
05:19:17 PM      8.63  30272.08
05:19:19 PM      8.59  34219.19
05:19:21 PM      6.53  36171.36
05:19:23 PM      4.55  36985.35
05:19:25 PM      6.03  24555.78
05:19:27 PM      6.03  31250.75
05:19:29 PM      6.03  35620.10
05:19:31 PM      7.58  37209.09
05:19:33 PM      6.06  37029.80
05:19:35 PM      6.06  37306.57
05:19:37 PM      6.09  37259.90
05:19:39 PM      6.06  29565.15
05:19:41 PM      6.03  25381.41
05:19:43 PM      6.06  33152.02
05:19:45 PM      6.03  31528.14
05:19:47 PM      5.97  36129.35
05:19:49 PM      6.53  36718.09
05:19:51 PM      7.61  33797.97
05:19:53 PM      6.00  32049.00
05:19:55 PM      8.08  37250.00
05:19:57 PM     18.69  37083.33
05:19:59 PM      7.11  35636.04
05:20:01 PM      7.61  31030.96
05:20:03 PM      7.11  38529.95
05:20:05 PM     10.05  38731.16
05:20:07 PM     12.06  38902.51
05:20:09 PM      7.54  39093.47
05:20:11 PM     12.06  37799.50
05:20:13 PM     13.27  39812.76
05:20:15 PM     14.72  32881.73
05:20:17 PM      8.54  33779.40
05:20:19 PM      8.54  32806.03
05:20:21 PM      8.04  38968.34
05:20:23 PM      6.57  32536.36
05:20:25 PM      6.03  26147.74
05:20:27 PM      6.03  36849.75
05:20:29 PM      6.03  33143.72
05:20:31 PM      7.61  38046.70
05:20:33 PM      6.03  38355.78
05:20:35 PM      6.15  38491.79
05:20:37 PM      6.06  37489.39
05:20:39 PM      6.03  37879.90
05:20:41 PM      6.06  36742.42
05:20:43 PM      6.03  36835.18
05:20:45 PM      4.57  37569.54
05:20:47 PM      4.48  31947.76
05:20:49 PM      6.57  37835.86
05:20:51 PM      7.50  37594.00
05:20:53 PM      6.09  37735.03
05:20:55 PM      8.04  37698.49
05:20:57 PM     18.69  38052.02
05:20:59 PM      7.11  38047.21
05:21:01 PM      7.61  38839.09
05:21:03 PM      7.54  32391.96
05:21:05 PM     11.50  37770.00
05:21:07 PM     11.62  36191.92
05:21:09 PM      7.54  36673.87
05:21:11 PM     11.73  32766.84
05:21:13 PM     13.00  27141.50
05:21:15 PM     14.65  37931.82
05:21:17 PM      8.59  34064.14
05:21:19 PM      8.59  38435.35
05:21:21 PM      8.08  38511.11
05:21:23 PM      6.06  38529.80
05:21:25 PM      4.55  38513.13
05:21:27 PM      4.57  38257.87
05:21:29 PM      5.97  26106.97
05:21:31 PM      7.69  34421.03
05:21:33 PM      6.03  37984.92
05:21:35 PM      6.09  38053.81
05:21:37 PM      6.60  36228.93
05:21:39 PM      6.03  36660.30
05:21:41 PM      6.60  37527.41
05:21:43 PM      6.06  37912.12
05:21:45 PM      6.06  32752.02
05:21:47 PM      6.06  37956.57
05:21:49 PM      6.53  31918.59
05:21:51 PM      7.58  37749.49
05:21:53 PM      5.97  37511.44
05:21:55 PM      8.12  38465.48
05:21:57 PM     18.69  38130.30
05:21:59 PM      7.00  37059.50
05:22:01 PM      8.08  38028.28
05:22:03 PM      7.58  29039.90
05:22:05 PM     10.05  37923.62
05:22:07 PM     10.15  38299.49
05:22:09 PM      7.58  37910.10
05:22:11 PM     11.68  37442.64
05:22:13 PM     13.00  38505.00
05:22:15 PM     14.87  33575.38
05:22:17 PM      8.54  37756.78
05:22:19 PM      8.54  37947.74
05:22:21 PM      7.61  33359.39
05:22:23 PM      6.03  36454.77
05:22:25 PM      6.03  28487.94
05:22:27 PM      6.03  32711.06
05:22:29 PM      6.09  37891.37
05:22:31 PM      7.46  36599.00
05:22:33 PM      6.06  37658.59
05:22:35 PM      6.53  25745.23
05:22:37 PM      6.60  30802.54
05:22:39 PM      6.06  33835.86
05:22:41 PM      6.06  33013.13
05:22:43 PM      4.48  32097.01
05:22:45 PM      4.57  32365.48
05:22:47 PM      6.00  29771.00
05:22:49 PM      6.53  35886.93
05:22:51 PM      8.04  37502.01
05:22:53 PM      6.57  35823.23
05:22:55 PM      7.58  33089.90
05:22:57 PM     18.69  38171.72
05:22:59 PM      7.07  28055.56
05:23:01 PM      7.58  38305.05
05:23:03 PM      7.54  38400.00
05:23:05 PM     11.56  36807.04
05:23:07 PM     11.68  36829.44
05:23:09 PM      7.58  28420.20
05:23:11 PM     11.62  30860.10
05:23:13 PM     13.00  38682.50
05:23:15 PM     14.57  23004.02
05:23:17 PM      8.59  33172.73
05:23:19 PM      7.04  32821.11
05:23:21 PM      6.03  36077.89
05:23:23 PM      6.09  37595.43
05:23:25 PM      5.97  36599.50
05:23:27 PM      6.06  30891.92
05:23:29 PM      6.03  31287.94
05:23:31 PM      7.58  37833.33
05:23:33 PM      6.00  34196.50
05:23:35 PM      6.53  30353.77
05:23:37 PM      6.03  33765.83
05:23:39 PM      6.09  33370.05
05:23:41 PM      6.06  32881.31
05:23:43 PM      6.00  39094.00
05:23:45 PM      6.06  39381.82
05:23:47 PM      6.15  37430.77
05:23:49 PM      6.53  38145.23
05:23:51 PM      8.67  35398.98
05:23:53 PM      6.03  30783.92
05:23:55 PM      8.12  33063.96
05:23:57 PM     17.00  27995.00
05:23:59 PM      5.67  37302.06
05:24:01 PM      7.46  37682.59
05:24:03 PM      7.50  37511.50
05:24:05 PM     15.38  38050.26
05:24:07 PM     12.06  33098.99
05:24:09 PM      7.69  38688.72
05:24:11 PM     13.07  37970.85
05:24:13 PM     12.18  35818.78
05:24:15 PM     14.65  35135.35
05:24:17 PM      8.63  32816.24
05:24:19 PM      8.50  27622.50
05:24:21 PM      7.58  36571.72
05:24:23 PM      6.03  37112.56
05:24:25 PM      6.03  37477.39
05:24:27 PM      6.06  35247.98
05:24:29 PM      6.09  33375.13
