Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab06.managed.contegix.com) 	06/18/2014 	_x86_64_	(24 CPU)

05:18:49 PM   frmpg/s   bufpg/s   campg/s
05:18:51 PM  -9028.00      0.50     12.50
05:18:53 PM   -266.17      0.00      2.99
05:18:55 PM   -129.29      0.00      1.01
05:18:57 PM    105.05      0.00      2.02
05:18:59 PM    -21.21      0.00      1.01
05:19:01 PM   -188.32      0.00      3.05
05:19:03 PM     79.90      0.00      2.01
05:19:05 PM   -151.27      0.00      0.51
05:19:07 PM  -1196.50      0.00      1.50
05:19:09 PM   1127.64      0.00      2.01
05:19:11 PM  -1102.50      0.00      2.00
05:19:13 PM    -34.52      0.00      1.52
05:19:15 PM   1114.00      0.00      0.50
05:19:17 PM    258.67      0.00      1.02
05:19:19 PM     97.98      0.00      1.01
05:19:21 PM    103.02      0.00      2.51
05:19:23 PM     61.11      0.00      0.51
05:19:25 PM     80.30      0.00      2.02
05:19:27 PM   -149.75      0.00      1.01
05:19:29 PM    -77.50      0.00      1.00
05:19:31 PM    126.26      0.00      2.53
05:19:33 PM    -16.67      0.00      1.01
05:19:35 PM    142.93      0.00      1.52
05:19:37 PM     80.20      0.00      1.52
05:19:39 PM     62.12      0.00      0.51
05:19:41 PM     33.33      0.00      3.03
05:19:43 PM    -43.72      0.00      0.50
05:19:45 PM    -62.31      0.00      1.51
05:19:47 PM     49.50      0.00      1.00
05:19:49 PM      2.02      0.00      1.52
05:19:51 PM      4.02      0.00      2.01
05:19:53 PM   -108.00      0.00      0.50
05:19:55 PM     76.65      0.00      1.52
05:19:57 PM  -1277.39      0.00      1.51
05:19:59 PM   1065.82      0.00      0.51
05:20:01 PM      3.03      0.00      2.53
05:20:03 PM     13.64      0.00      2.53
05:20:05 PM     74.62      0.00      2.03
05:20:07 PM  -1254.50      0.00      1.00
05:20:09 PM   1229.65      0.00      3.02
05:20:11 PM  -1193.43      0.00      2.02
05:20:13 PM     -0.51      0.00      1.52
05:20:15 PM   1122.84      0.00      1.52
05:20:17 PM    -22.61      0.00      1.01
05:20:19 PM     15.58      0.00      1.51
05:20:21 PM     30.15      0.00      2.01
05:20:23 PM     63.13      0.00      1.52
05:20:25 PM    -30.81      0.00      1.52
05:20:27 PM     93.47      0.00      1.01
05:20:29 PM   -133.67      0.00      2.51
05:20:31 PM     31.31      0.00      1.52
05:20:33 PM     17.59      0.00      1.51
05:20:35 PM     82.56      0.00      1.54
05:20:37 PM   -113.20      0.00      1.02
05:20:39 PM     50.25      0.00      0.50
05:20:41 PM    -96.48      0.00      2.01
05:20:43 PM     -4.02      0.00      1.51
05:20:45 PM     69.54      0.00      1.02
05:20:47 PM    -66.83      0.00      1.51
05:20:49 PM     62.00      0.00      1.00
05:20:51 PM     20.00      0.00      2.00
05:20:53 PM     69.04      0.00      2.03
05:20:55 PM   -109.55      0.00      0.50
