Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab06.managed.contegix.com) 	06/18/2014 	_x86_64_	(24 CPU)

05:18:49 PM  active/s passive/s    iseg/s    oseg/s
05:18:51 PM      0.00      0.00   7524.88   7580.10
05:18:53 PM      0.50      0.00   8840.30   7589.05
05:18:55 PM      0.51      0.00   8218.27   8396.45
05:18:57 PM      0.00      0.00   8254.04   9789.39
05:18:59 PM      0.51      0.00   8079.29  10336.87
05:19:01 PM      0.51      0.00  10760.10  12322.22
05:19:03 PM      0.00      0.00   9726.26  11419.19
05:19:05 PM      1.52      0.00   8528.43  10336.55
05:19:07 PM      0.50      0.00   8270.15   9020.90
05:19:09 PM      0.00      0.51   8338.89   8642.93
05:19:11 PM      0.50      0.00   7100.50   8392.50
05:19:13 PM      0.51      0.00   8358.08   9623.74
05:19:15 PM      0.00      0.50   8490.45   8549.75
05:19:17 PM      1.02      0.00   8198.47   9486.73
05:19:19 PM      0.51      0.00   8877.27   9909.09
05:19:21 PM      0.00      0.50   8444.22  11129.15
05:19:23 PM      0.51      0.00   9123.74   9937.88
05:19:25 PM      0.50      0.00   7797.99   7406.53
05:19:27 PM      0.00      0.00   8208.04   8842.21
05:19:29 PM      0.50      0.00  13039.20   9920.60
05:19:31 PM      0.51      0.00   8986.36   9647.47
05:19:33 PM      0.00      0.00   8530.30   9499.49
05:19:35 PM      0.51      0.00   8721.21   9583.33
05:19:37 PM      0.51      0.00   9892.89  10293.40
05:19:39 PM      0.00      0.50   7004.52   8976.38
05:19:41 PM      0.51      0.00   5796.45   7276.14
05:19:43 PM      0.50      0.00   7818.00   8841.00
05:19:45 PM      0.00      0.00   7399.49   8578.28
05:19:47 PM      0.50      0.00   9202.50   9706.50
05:19:49 PM      0.50      0.00   8583.92  11248.74
05:19:51 PM      0.00      0.50   7834.67  10120.60
05:19:53 PM      0.50      0.00   7905.53   9233.67
05:19:55 PM      0.51      0.00   8800.00   9592.93
05:19:57 PM      0.00      0.00   8760.30   9712.06
05:19:59 PM      0.51      0.00   8321.03   9228.21
05:20:01 PM      0.51      0.00   7066.67   8216.67
05:20:03 PM      0.00      0.00   9167.17   9784.85
05:20:05 PM      0.51      0.00   9114.65   9830.81
05:20:07 PM      0.50      0.00   9273.37  10264.82
05:20:09 PM      0.00      0.00  11485.93  11159.80
05:20:11 PM      0.50      0.00   9456.28  10514.07
05:20:13 PM      1.02      0.00   8944.67   9896.95
