Time      compact_pages_moved compact_stall compact_fail compact_success thp_fault_alloc thp_fault_fallback thp_collapse_alloc thp_collapse_alloc_failed thp_split
22:18:49  1515367             1749          417          1332            502803          768                745                0                         2928     
22:18:51  1515367             1749          417          1332            502803          768                745                0                         2928     
22:18:53  1515367             1749          417          1332            502803          768                745                0                         2928     
22:18:55  1515367             1749          417          1332            502803          768                745                0                         2928     
22:18:57  1515367             1749          417          1332            502803          768                745                0                         2928     
22:18:59  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:01  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:03  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:05  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:07  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:09  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:11  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:13  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:15  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:17  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:19  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:21  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:23  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:25  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:27  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:29  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:31  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:33  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:35  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:37  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:39  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:42  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:44  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:46  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:48  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:50  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:52  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:54  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:56  1515367             1749          417          1332            502803          768                745                0                         2928     
22:19:58  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:00  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:02  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:04  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:06  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:08  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:10  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:12  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:14  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:16  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:18  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:20  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:22  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:24  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:26  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:28  1515367             1749          417          1332            502803          768                745                0                         2928     
